scientificName,bee_genus,bee_family,diet_breadth_liberal,diet_breadth_conservative,phylo_rich,phylo_simp,eigen1_plantGenus,eigen2_plantGenus,eigen1_plantFam,eigen2_plantFam,rich_genus,simpson_genus,rich_fam,simpson_fam,n_globi,med_lat,med_long,n_chesshire,area_m2,area_ha,spherical_geometry,mean_doy,med_doy,quant10,quant90,flight_season,eigen1,eigen2,Andrena,Megandrena,Ancylandrena,Calliopsis,Macrotera,Perdita,Panurginus,Protandrena,Mesoxaea,Protoxaea,Eulonchopria,Colletes,Hylaeus,Caupolicana,Ptiloglossa,Zikanapis,Agapostemon,Halictus,Lasioglossum,Sphecodes,Augochlora,Augochlorella,Augochloropsis,Pseudaugochlora,Dieunomia,Nomia,Dufourea,Sphecodosoma,Conanthalictus,Protodufourea,Xeralictus,Plebeia,Bombus,Centris,Melitoma,Ptilothrix,Diadasia,Exomalopsis,Anthophorula,Ancyloscelis,Svastra,Melissodes,Martinapis,Melissoptila,Eucera,Xenoglossa,Simanthedon,Florilegus,Gaesischia,Ceratina,Xylocopa,Anthophora,Habropoda,Ericrocis,Epeoloides,Leiopodus,Brachymelecta,Melecta,Zacosmia,Nomada,Biastes,Townsendiella,Neolarra,Hexepeolus,Holcopasites,Paranomada,Brachynomada,Triopasites,Triepeolus,Epeolus,Oreopasites,Coelioxys,Megachile,Heriades,Protosmia,Osmia,Ashmeadiella,Atoposmia,Hoplitis,Chelostoma,Anthidium,Anthidiellum,Dianthidium,Paranthidium,Stelis,Trachusa,Dioxys,Lithurgopsis,Hesperapis,Macropis,Melitta,diet_breadth
Agapostemon angelicus,Agapostemon,Halictidae,generalist,generalist,3643.8642469994,534.091595266945,-0.118801361164717,0.0759516495292386,-0.218307480545831,0.0636831958699595,63,18.5092509430573,24,6.68272910046047,642,35.594,-109.26,3265,9910958015606.64,991095801.560664,TRUE,184.673469387755,185,116,252,136,0.698542425874062,0.178775764975603,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,0,0.657570351239883,0.657570351239883,0.657570351239883,0.850972528205435,0.850972528205435,0.850972528205435,0.850972528205435,1.09217234767172,1.09217234767172,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427,NA
Agapostemon coloradinus,Agapostemon,Halictidae,generalist,NA,621.1781880003,489.274817836616,-0.0464942526467227,-0.0508177182526119,-0.242004010688102,-0.111376758805511,3,3,3,3,3,41.72,-104.967,109,1783836249093.02,178383624.909302,TRUE,213.223300970874,191,163,282.2,119.2,0.698542425874062,0.178775764975603,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,0,0.657570351239883,0.657570351239883,0.657570351239883,0.850972528205435,0.850972528205435,0.850972528205435,0.850972528205435,1.09217234767172,1.09217234767172,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427,NA
Agapostemon femoratus,Agapostemon,Halictidae,generalist,generalist,812.841396,454.271532344437,0.222186683946561,0.125452790455976,-0.399392034656524,0.0754183479992877,10,6.4,4,1.70666666666667,16,40.252,-114.734,1061,5762833596861.12,576283359.686112,TRUE,197.160678642715,197,140,252.9,112.9,0.698542425874062,0.178775764975603,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,0,0.657570351239883,0.657570351239883,0.657570351239883,0.850972528205435,0.850972528205435,0.850972528205435,0.850972528205435,1.09217234767172,1.09217234767172,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427,NA
Agapostemon melliventris,Agapostemon,Halictidae,generalist,generalist,3894.7089809977,532.641622176791,-0.0084629202949023,0.118633291486674,-0.243646823069302,0.0743593563901738,58,21.6592244418331,30,7.85677749360614,192,33.054,-110.938,1465,5244176882755.38,524417688.275537,TRUE,197.688372093023,200,98,288,190,0.698542425874062,0.178775764975603,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,0,0.657570351239883,0.657570351239883,0.657570351239883,0.850972528205435,0.850972528205435,0.850972528205435,0.850972528205435,1.09217234767172,1.09217234767172,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427,NA
Agapostemon nasutus,Agapostemon,Halictidae,generalist,NA,1330.542545,522.484022591522,-0.0915571987386478,0.102290291052031,-0.0815112093676724,-0.100792516523332,15,10.8805970149254,8,5.17021276595745,27,19.533,-97.516,385,4055425724548.06,405542572.454806,TRUE,196.911290322581,201,75.1,313.9,238.8,0.698542425874062,0.178775764975603,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,0,0.657570351239883,0.657570351239883,0.657570351239883,0.850972528205435,0.850972528205435,0.850972528205435,0.850972528205435,1.09217234767172,1.09217234767172,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427,NA
Agapostemon sericeus,Agapostemon,Halictidae,generalist,generalist,1392.584601,476.859228563763,0.291870864460625,0.0243282457826009,-0.371688235867995,0.0456171125183551,25,8.47058823529412,8,2.50676982591876,72,41.212,-81.455,1431,6877058866340.17,687705886.634017,TRUE,200.668416447944,204,133,270,137,0.698542425874062,0.178775764975603,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,0,0.657570351239883,0.657570351239883,0.657570351239883,0.850972528205435,0.850972528205435,0.850972528205435,0.850972528205435,1.09217234767172,1.09217234767172,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427,NA
Agapostemon splendens,Agapostemon,Halictidae,generalist,generalist,7501.4324156003,510.081144648205,0.21347763001949,0.0339303014573085,-0.366639365613149,0.0857736029804773,153,28.5824175824176,58,3.66487784088438,918,31.072,-81.389,2610,9727276162905.33,972727616.290533,TRUE,209.899339933993,211,113,313,200,0.698542425874062,0.178775764975603,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,0,0.657570351239883,0.657570351239883,0.657570351239883,0.850972528205435,0.850972528205435,0.850972528205435,0.850972528205435,1.09217234767172,1.09217234767172,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427,NA
Agapostemon texanus,Agapostemon,Halictidae,generalist,generalist,9273.28696899909,490.99905500753,0.151880003926685,0.0319821326359419,-0.386115107093826,0.0552269772403306,210,38.7068761847202,58,2.45329495731451,1187,38.227,-110.233,3631,12355187911164.4,1235518791.11644,TRUE,197.582978723404,198,115,276,161,0.698542425874062,0.178775764975603,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,0,0.657570351239883,0.657570351239883,0.657570351239883,0.850972528205435,0.850972528205435,0.850972528205435,0.850972528205435,1.09217234767172,1.09217234767172,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427,NA
Agapostemon virescens,Agapostemon,Halictidae,generalist,generalist,7133.492438,512.718364653839,0.307814554760991,-0.0362229506250194,-0.350963951551822,0.0516036347209973,152,39.7490263167473,48,3.59189211413535,1045,41.378,-77.264,5697,11192869280515.6,1119286928.05156,TRUE,203.932787843366,197,154,266,112,0.698542425874062,0.178775764975603,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,0,0.657570351239883,0.657570351239883,0.657570351239883,0.850972528205435,0.850972528205435,0.850972528205435,0.850972528205435,1.09217234767172,1.09217234767172,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427,NA
Ancylandrena atoposoma,Ancylandrena,Andrenidae,specialist,specialist,390.70254,390.70254,-0.0446980116528872,0.1044289474636,0.212083359977471,-0.252780478798782,1,1,1,1,3,34.1,-117.372,77,195898452920.394,19589845.2920394,TRUE,128.720588235294,132.5,107.7,148.3,40.6,0.328833526997051,0.0714730915798909,0.732623508930728,0.631254711814933,0,1.28003495668283,1.28003495668283,1.28003495668283,1.28003495668283,1.28003495668283,1.28003495668283,1.28003495668283,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427,specialist
