scientificName,bee_genus,bee_family,diet_breadth_liberal,diet_breadth_conservative,phylo_rich,phylo_simp,eigen1_plantGenus,eigen2_plantGenus,eigen1_plantFam,eigen2_plantFam,rich_genus,simpson_genus,rich_fam,simpson_fam,n_globi,med_lat,med_long,n_chesshire,area_m2,area_ha,spherical_geometry,mean_doy,med_doy,quant10,quant90,flight_season,eigen1,eigen2,Tetraloniella,Florilegus,Simanthedon,Ericrocis,Epeoloides,Leiopodus,Nomada,Hexepeolus,Biastes,Townsendiella,Neolarra,Brachynomada,Syntrichalonia,Triopasites,Paranomada,Epeolus,Triepeolus,Cemolobus,Holcopasites,Oreopasites,Zacosmia,Melecta,Anthophora,Habropoda,Trachusa,Paranthidium,Lithurgopsis,Anthidiellum,Dianthidium,Stelis,Anthidium,Megachile,Coelioxys,Chelostoma,Protosmia,Heriades,Hoplitis,Atoposmia,Ashmeadiella,Osmia,Dioxys,Hesperapis,Macropis,Melitta,Caupolicana,Zikanapis,Ptiloglossa,Eulonchopria,Colletes,Hylaeus,Dieunomia,Nomia,Pseudaugochlora,Agapostemon,Sphecodes,Micralictoides,Halictus,Lasioglossum,Augochloropsis,Augochlora,Augochlorella,Conanthalictus,Xeralictus,Protodufourea,Dufourea,Sphecodosoma,Protoxaea,Calliopsis,Mesoxaea,Panurginus,Perdita,Macrotera,Ancylandrena,Pseudopanurgus,Protandrena,Megandrena,Andrena,Plebeia,Bombus,Centris,Ceratina,Xylocopa,Ancyloscelis,Exomalopsis,Anthophorula,Brachymelecta,Melitoma,Ptilothrix,Diadasia,Melissoptila,Martinapis,Svastra,Melissodes,Gaesischia,Peponapis,Xenoglossa,Eucera,diet_breadth
Agapostemon angelicus,Agapostemon,Halictidae,generalist,generalist,3643.864247,534.0915952669448,-0.118801361,0.07595165,-0.218307481,0.063683196,63,18.509250943057303,24,6.682729100460469,642,35.594,-109.26,3265,9910958015606.637,991095801.5606636,TRUE,184.67346938775503,185,116,252,136,0.22255499223866945,-0.103590779,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046353,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.086615717,0.46762427447644805,0.46895548482322297,0.464237061,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627472,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.390421944,0,0.1405176818233767,-0.27628946,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002,0.40476936731424407,0.024719469,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.024719469,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Agapostemon coloradinus,Agapostemon,Halictidae,generalist,NA,621.1781880002998,489.2748178366158,-0.046494253,-0.050817718,-0.242004011,-0.111376759,3,3,3,3,3,41.72,-104.967,109,1783836249093.0225,178383624.90930226,TRUE,213.2233009708738,191,163,282.2,119.2,0.22255499223866945,-0.103590779,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046353,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.086615717,0.46762427447644805,0.46895548482322297,0.464237061,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627472,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.390421944,0,0.1405176818233767,-0.27628946,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002,0.40476936731424407,0.024719469,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.024719469,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Agapostemon femoratus,Agapostemon,Halictidae,generalist,generalist,812.8413959999999,454.2715323444371,0.22218668394656133,0.1254527904559765,-0.399392035,0.075418348,10,6.4,4,1.7066666666666668,16,40.252,-114.734,1061,5762833596861.124,576283359.6861124,TRUE,197.16067864271457,197,140,252.9,112.89999999999998,0.22255499223866945,-0.103590779,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046353,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.086615717,0.46762427447644805,0.46895548482322297,0.464237061,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627472,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.390421944,0,0.1405176818233767,-0.27628946,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002,0.40476936731424407,0.024719469,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.024719469,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Agapostemon melliventris,Agapostemon,Halictidae,generalist,generalist,3894.708980997704,532.6416221767906,-0.00846292,0.11863329148667404,-0.243646823,0.074359356,58,21.659224441833132,30,7.856777493606139,192,33.054,-110.938,1465,5244176882755.375,524417688.2755375,TRUE,197.68837209302328,200,98,288,190,0.22255499223866945,-0.103590779,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046353,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.086615717,0.46762427447644805,0.46895548482322297,0.464237061,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627472,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.390421944,0,0.1405176818233767,-0.27628946,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002,0.40476936731424407,0.024719469,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.024719469,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Agapostemon nasutus,Agapostemon,Halictidae,generalist,NA,1330.5425450000007,522.4840225915219,-0.091557199,0.1022902910520308,-0.081511209,-0.100792517,15,10.880597014925376,8,5.170212765957446,27,19.533,-97.516,385,4055425724548.056,405542572.4548056,TRUE,196.9112903225806,201,75.1,313.90000000000003,238.80000000000004,0.22255499223866945,-0.103590779,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046353,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.086615717,0.46762427447644805,0.46895548482322297,0.464237061,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627472,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.390421944,0,0.1405176818233767,-0.27628946,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002,0.40476936731424407,0.024719469,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.024719469,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Agapostemon sericeus,Agapostemon,Halictidae,generalist,generalist,1392.5846009999996,476.8592286,0.29187086446062543,0.024328246,-0.371688236,0.045617113,25,8.470588235294116,8,2.5067698259187616,72,41.212,-81.455,1431,6877058866340.174,687705886.6340175,TRUE,200.66841644794405,204,133,270,137,0.22255499223866945,-0.103590779,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046353,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.086615717,0.46762427447644805,0.46895548482322297,0.464237061,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627472,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.390421944,0,0.1405176818233767,-0.27628946,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002,0.40476936731424407,0.024719469,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.024719469,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Agapostemon splendens,Agapostemon,Halictidae,generalist,generalist,7501.432415600299,510.0811446482049,0.2134776300194904,0.033930301,-0.366639366,0.085773603,153,28.582417582417605,58,3.664877840884385,918,31.072,-81.389,2610,9727276162905.334,972727616.2905334,TRUE,209.89933993399345,211,113,313,200,0.22255499223866945,-0.103590779,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046353,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.086615717,0.46762427447644805,0.46895548482322297,0.464237061,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627472,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.390421944,0,0.1405176818233767,-0.27628946,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002,0.40476936731424407,0.024719469,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.024719469,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Agapostemon texanus,Agapostemon,Halictidae,generalist,generalist,9273.286968999088,490.9990550075296,0.1518800039266846,0.031982133,-0.386115107,0.055226977,210,38.706876184720215,58,2.4532949573145126,1187,38.227,-110.233,3631,12355187911164.363,1235518791.1164365,TRUE,197.58297872340427,198,115,276,161,0.22255499223866945,-0.103590779,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046353,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.086615717,0.46762427447644805,0.46895548482322297,0.464237061,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627472,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.390421944,0,0.1405176818233767,-0.27628946,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002,0.40476936731424407,0.024719469,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.024719469,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Agapostemon virescens,Agapostemon,Halictidae,generalist,generalist,7133.492437999996,512.7183646538391,0.30781455476099107,-0.036222951,-0.350963952,0.051603635,152,39.74902631674728,48,3.591892114,1045,41.378,-77.264,5697,11192869280515.646,1119286928.0515647,TRUE,203.93278784336644,197,154,266,112,0.22255499223866945,-0.103590779,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046353,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.086615717,0.46762427447644805,0.46895548482322297,0.464237061,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627472,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.390421944,0,0.1405176818233767,-0.27628946,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002,0.40476936731424407,0.024719469,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.024719469,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Ancylandrena atoposoma,Ancylandrena,Andrenidae,specialist,specialist,390.70253999999994,390.70253999999983,-0.044698012,0.10442894746360028,0.2120833599774709,-0.252780479,1,1,1,1,3,34.1,-117.372,77,195898452920.39377,19589845.292039376,TRUE,128.72058823529412,132.5,107.7,148.3,40.60000000000001,0.011833917,0.006877534,0.024411396,0.035354994,-0.283199035,0.074741273,0.030711158,0.11207666747302591,0.039576064,-3.39E-04,0.012000183,-0.004375611,0.007251785,0.091009077,-0.283199035,0.082869669,0.10432952374420268,0.053055021,0.048727253,-0.283199035,0.052196611,0.052943087,0.048536331,0.041162165,0.006271735,-0.009886135,0.02310696,0.025571975,-0.34417885,0.036829707,0.038160917,0.033442494,0.051026053,0.029829551,0.051146517,-0.004841109,0.043310116,0.040639188,0.04262605,0.033626362,0.048170395,0.065825552,0.036593397,0.008780332,-0.043996737,-0.021342732,-0.021748538,-0.007526739,0.005510683,-0.041260226,0.004834964,-0.001875899,-0.006359386,0.003679739,-0.406075099,0.024719469,0.010732043,-0.406075099,0.03456262,0.041039477,-0.00377472,0.02561337,-0.00126265,-0.037276307,-0.071566803,-0.081635747,0.017334132,-0.061914154,-0.140566898,-0.182257781,-0.590548273,-0.193833285,-0.133407693,-0.130298912,0,-0.365192282,-0.359468204,-0.096090616,-0.078822634,0.070910416,0.024129958,-0.012752426,0.092478117,0.015251491,0.026011284,0.03932131,-0.002593057,-0.182403663,0.027399081,0.037097197,0.022760632,0.040190501,0.031591987,0.031493555,0.040876394,0.022006676,0.024778079,0.025945984,0.022006676,specialist
