scientificName,diet_breadth,bee_family,phylo_rich,phylo_simp,eigen1_plantGenus,eigen2_plantGenus,eigen1_plantFam,eigen2_plantFam,simpson_genus,simpson_fam,n_globi,med_lat,med_long,n_chesshire,area_ha,med_doy,flight_season,Andrena,Megandrena,Ancylandrena,Calliopsis,Macrotera,Perdita,Panurginus,Protandrena,Protoxaea,Eulonchopria,Colletes,Hylaeus,Ptiloglossa,Agapostemon,Halictus,Lasioglossum,Augochlora,Augochlorella,Augochloropsis,Dieunomia,Dufourea,Sphecodosoma,Conanthalictus,Protodufourea,Xeralictus,Plebeia,Bombus,Centris,Melitoma,Ptilothrix,Diadasia,Anthophorula,Ancyloscelis,Svastra,Melissodes,Eucera,Xenoglossa,Florilegus,Ceratina,Xylocopa,Anthophora,Habropoda,Megachile,Heriades,Osmia,Ashmeadiella,Atoposmia,Hoplitis,Chelostoma,Anthidium,Anthidiellum,Dianthidium,Paranthidium,Trachusa,Lithurgopsis,Hesperapis,Macropis,Melitta
Agapostemon angelicus,generalist,Halictidae,3643.8642469994,534.091595266945,-0.118801361164717,0.0759516495292386,-0.218307480545831,0.0636831958699595,18.5092509430573,6.68272910046047,642,35.594,-109.26,3265,991095801.560664,185,136,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,0,0.65757035123988306,0.65757035123988306,0.850972528205435,0.850972528205435,0.850972528205435,1.09217234767172,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427
Agapostemon femoratus,generalist,Halictidae,812.841396,454.271532344437,0.222186683946561,0.125452790455976,-0.399392034656524,0.0754183479992877,6.4,1.70666666666667,16,40.252,-114.734,1061,576283359.686112,197,112.9,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,0,0.65757035123988306,0.65757035123988306,0.850972528205435,0.850972528205435,0.850972528205435,1.09217234767172,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427
Agapostemon melliventris,generalist,Halictidae,3894.7089809977,532.641622176791,-0.0084629202949023,0.118633291486674,-0.243646823069302,0.0743593563901738,21.6592244418331,7.85677749360614,192,33.054,-110.938,1465,524417688.275537,200,190,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,0,0.65757035123988306,0.65757035123988306,0.850972528205435,0.850972528205435,0.850972528205435,1.09217234767172,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427
Agapostemon sericeus,generalist,Halictidae,1392.584601,476.859228563763,0.291870864460625,0.0243282457826009,-0.371688235867995,0.0456171125183551,8.47058823529412,2.50676982591876,72,41.212,-81.455,1431,687705886.634017,204,137,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,0,0.65757035123988306,0.65757035123988306,0.850972528205435,0.850972528205435,0.850972528205435,1.09217234767172,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427
Agapostemon splendens,generalist,Halictidae,7501.4324156003,510.081144648205,0.21347763001949,0.0339303014573085,-0.366639365613149,0.0857736029804773,28.5824175824176,3.66487784088438,918,31.072,-81.389,2610,972727616.290533,211,200,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,0,0.65757035123988306,0.65757035123988306,0.850972528205435,0.850972528205435,0.850972528205435,1.09217234767172,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427
Agapostemon texanus,generalist,Halictidae,9273.28696899909,490.99905500753,0.151880003926685,0.0319821326359419,-0.386115107093826,0.0552269772403306,38.7068761847202,2.45329495731451,1187,38.227,-110.233,3631,1235518791.11644,198,161,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,0,0.65757035123988306,0.65757035123988306,0.850972528205435,0.850972528205435,0.850972528205435,1.09217234767172,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427
Agapostemon virescens,generalist,Halictidae,7133.492438,512.718364653839,0.307814554760991,-0.0362229506250194,-0.350963951551822,0.0516036347209973,39.7490263167473,3.59189211413535,1045,41.378,-77.264,5697,1119286928.05156,197,112,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.46594536750786,1.46594536750786,1.46594536750786,1.46594536750786,0,0.65757035123988306,0.65757035123988306,0.850972528205435,0.850972528205435,0.850972528205435,1.09217234767172,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.24763888773991,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427
Ancylandrena atoposoma,specialist,Andrenidae,390.70254,390.70254,-0.0446980116528872,0.1044289474636,0.212083359977471,-0.252780478798782,1,1,3,34.1,-117.372,77,19589845.2920394,132.5,40.6,0.732623508930728,0.631254711814933,0,1.28003495668283,1.28003495668283,1.28003495668283,1.28003495668283,1.28003495668283,1.28003495668283,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427
Ancylandrena koebelei,specialist,Andrenidae,390.70254,390.70254,-0.0621362396216472,0.0368799898186354,0.438725461086078,0.445260029056258,1,1,2,36.308,-114.6,19,7427107.10047034,123,44.8,0.732623508930728,0.631254711814933,0,1.28003495668283,1.28003495668283,1.28003495668283,1.28003495668283,1.28003495668283,1.28003495668283,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427
Ancylandrena larreae,specialist,Andrenidae,749.826275,411.835618794548,-0.169998253213535,0.0912191045668321,0.263501416699906,-0.216807802533905,1.19586206896552,1.19586206896552,102,33.221,-114.051,215,82667552.8853529,101.5,46.3,0.732623508930728,0.631254711814933,0,1.28003495668283,1.28003495668283,1.28003495668283,1.28003495668283,1.28003495668283,1.28003495668283,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.52302504081709,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.57114411245316,1.59717839119427,1.59717839119427,1.59717839119427
