bee,family,genus,species
Actenosigynes_mantiqueirensis,Loasaceae,Blumenbachia,Blumenbachia amana
Afranthidium_alternans,Asteraceae,NA,NA
Afranthidium_alternans,Asteraceae,NA,NA
Afranthidium_carduele,Asteraceae,NA,NA
Afranthidium_concolor,Asteraceae,NA,NA
Afranthidium_pusillum,Asteraceae,NA,NA
Afranthidium_pusillum,Asteraceae,NA,NA
Afranthidium_schulthessi,Asteraceae,NA,NA
Afranthidium_tergoangulatum,Zygophyllaceae,Augea,Augea capensis
Afroheriades_gemina,Asteraceae,Dimorphotheca,Dimorphotheca pluvialis
Afroheriades_gemina,Asteraceae,Osteospermum,Osteospermum clandestinum
Afroheriades_gemina,Asteraceae,Didelta,Didelta carnosa
Afroheriades_gemina,Asteraceae,Ursinia,NA
Afroheriades_gemina,Asteraceae,Chrysanthemoides,NA
Afroheriades_gemina,Asteraceae,Arctotis,NA
Afroheriades_gemina,Aizoaceae,NA,NA
Afroheriades_prima,Asteraceae,Rhynchopsidium,Rhynchopsidium pumilum
Afroheriades_prima,Asteraceae,Pteronia,Pteronia incana
Afroheriades_prima,Asteraceae,Chrysocoma,Chrysocoma ciliata
Afroheriades_prima,Asteraceae,Helichrysum,Helichrysum stellatum
Afroheriades_prima,Asteraceae,Amellus,Amellus microglossus
Afroheriades_prima,Asteraceae,Dimorphotheca,Dimorphotheca pluvialis
Afroheriades_prima,Asteraceae,Osteospermum,Osteospermum clandestinum
Afroheriades_prima,Asteraceae,Didelta,Didelta carnosa
Afroheriades_prima,Asteraceae,Senecio,NA
Afroheriades_prima,Asteraceae,Felicia,NA
Afroheriades_prima,Asteraceae,Oedera,NA
Afroheriades_prima,Asteraceae,Euryops,NA
Afroheriades_prima,Asteraceae,Rosenia,NA
Afroheriades_prima,Asteraceae,Leysera,NA
Afroheriades_prima,Asteraceae,Ursinia,NA
Afroheriades_prima,Asteraceae,Chrysanthemoides,NA
Afroheriades_prima,Asteraceae,Arctotis,NA
Agapostemon_melliventris,Cucurbitaceae,Cucurbita,Cucurbita foetidissima
Agapostemon_melliventris,Solanaceae,Datura,NA
Allodape_ceratinoides,Aizoaceae,Malephora,Malephora purpureocrocea
Allodape_ceratinoides,Oxalidaceae,NA,NA
Alloscirtetica_gilva,Cactaceae,Opuntia,Opuntia monacantha
Alloscirtetica_gilva,Cactaceae,Opuntia,Opuntia viridirubra
Amegilla_chlorocyanea,Orchidaceae,Thelymitra,NA
Amegilla_florea,Balsaminaceae,Impatiens,Impatiens textori
Amegilla_friese,Lamiaceae,Leucas,Leucas zeylanica
Amegilla_friese,Verbenaceae,Stachytarpheta,Stachytarpheta dichotoma
Amegilla_niveata,Asteraceae,Dimorphotheca,Dimorphotheca pluvialis
Amegilla_niveata,Asteraceae,Osteospermum,Osteospermum clandestinum
Amegilla_niveata,Asteraceae,Didelta,Didelta carnosa
Amegilla_niveata,Asteraceae,Ursinia,NA
Amegilla_niveata,Asteraceae,Chrysanthemoides,NA
Amegilla_niveata,Asteraceae,Arctotis,NA
Amegilla_niveata,Oxalidaceae,NA,NA
Amegilla_niveata,Zygophyllaceae,NA,NA
Amegilla_niveocincta,Lamiaceae,Leucas,Leucas zeylanica
Amegilla_niveocincta,Pedaliaceae,Sesamum,Sesamum radiatum
Amegilla_obscuriceps,Asphodelaceae,Trachyandra,NA
Amegilla_puttalama,Lamiaceae,Leucas,Leucas zeylanica
Amegilla_puttalama,Verbenaceae,Stachytarpheta,Stachytarpheta dichotoma
Amegilla_quadrifasciata,Boraginaceae,Anchusa,Anchusa officinalis
Amegilla_quadrifasciata,Lamiaceae,Ballota,Ballota nigra
Amegilla_quadrifasciata,Asteraceae,Centaurea,Centaurea stoebe
Amegilla_quadrifasciata,Asteraceae,Cirsium,Cirsium vulgare
Amegilla_quadrifasciata,Boraginaceae,Echium,Echium vulgare
Amegilla_quadrifasciata,Fabaceae,Ononis,Ononis spinosa
Amegilla_quadrifasciata,Fabaceae,Vicia,Vicia cracca
Amegilla_scintillans,Acanthaceae,Asystasia,Asystasia gangetica
Amegilla_scintillans,Acanthaceae,Justicia,Justicia colorifera
Amegilla_scintillans,Verbenaceae,Lantana,Lantana camara
Amegilla_scintillans,Verbenaceae,Stachytarpheta,Stachytarpheta indica
Amegilla_zonata,Lamiaceae,Ocimum,Ocimum basilicum
Ancylandrena_atoposoma,Fabaceae,Lupinus,NA
Ancylandrena_koebelei,Fabaceae,Dalea,NA
Ancylandrena_larreae,Zygophyllaceae,Larrea,Larrea tridentata
Ancylandrena_rozeni,Fabaceae,Coursetia,NA
Ancyloscelis_apiformis,Convolvulaceae,Merremia,Merremia dissecta
Ancyloscelis_apiformis,Convolvulaceae,Bonamia,Bonamia ferruginea
Ancyloscelis_apiformis,Malpighiaceae,Malpighia,Malpighia glabra
Ancyloscelis_apiformis,Malpighiaceae,Byrsonima,Byrsonima crispa
Ancyloscelis_apiformis,Fabaceae,Senna,Senna alata
Ancyloscelis_apiformis,Melastomataceae,Miconia,Miconia poeppigii
Ancyloscelis_apiformis,Convolvulaceae,Ipomoea,NA
Ancyloscelis_gigas,Pontederiaceae,Eichhornia,Eichhornia azurea
Ancyloscelis_gigas,Pontederiaceae,Pontederia,NA
Ancyloscelis_romeroi,Cactaceae,Opuntia,Opuntia monacantha
Ancyloscelis_romeroi,Cactaceae,Opuntia,Opuntia viridirubra
Ancyloscelis_romeroi,Cactaceae,Parodia,Parodia sellowii
Ancyloscelis_romeroi,Cactaceae,Gymnocalycium,Gymnocalycium denudatum
Ancyloscelis_romeroi,Convolvulaceae,Convolvulus,NA
Ancyloscelis_sejunctus,Convolvulaceae,Ipomoea,NA
Ancyloscelis_turmalis,Pontederiaceae,Eichhornia,NA
Ancyloscelis_turmalis,Pontederiaceae,Pontederia,NA
Ancyloscelis_ursinus,Pontederiaceae,Eichhornia,NA
Ancyloscelis_ursinus,Pontederiaceae,Pontederia,NA
Ancyloscelis_wheeleri,Convolvulaceae,NA,NA
Andrena_aberrans,Fabaceae,Chamaecytisus,Chamaecytisus purpureus
Andrena_aberrans,Fabaceae,Chamaecytisus,Chamaecytisus ratisbonensis
Andrena_ablegata,Asteraceae,Agoseris,NA
Andrena_accepta,Asteraceae,Helianthus,NA
Andrena_accepta,Asteraceae,Grindelia,NA
Andrena_accepta,Asteraceae,Silphium,NA
Andrena_accepta,Asteraceae,Solidago,NA
Andrena_accepta,Fabaceae,NA,NA
Andrena_afimbriata,Asteraceae,Berlandiera,NA
Andrena_afimbriata,Asteraceae,Pyrrhopappus,NA
Andrena_afimbriata,Asteraceae,NA,NA
Andrena_agilissima,Brassicaceae,Raphanus,Raphanus raphanistrum
Andrena_agilissima,Brassicaceae,Sinapis,Sinapis arvensis
Andrena_agilissima,Boraginaceae,Borago,Borago officinalis
Andrena_agilissima,Brassicaceae,Sinapis,Sinapis alba
Andrena_agilissima,Brassicaceae,Sinapis,Sinapis arvensis
Andrena_agilissima,Brassicaceae,Barbarea,Barbarea vulgaris
Andrena_agilissima,Brassicaceae,Brassica,Brassica rapa
Andrena_agilissima,Brassicaceae,Raphanus,Raphanus raphanistrum
Andrena_agoseridis,Asteraceae,Agoseris,NA
Andrena_alamonis,Brassicaceae,Lesquerella,NA
Andrena_alfkenella,Apiaceae,Angelica,Angelica sylvestris
Andrena_alfkenella,Boraginaceae,Borago,Borago officinalis
Andrena_alfkenella,Brassicaceae,Brassica,Brassica rapa
Andrena_alfkenella,Brassicaceae,Cardamine,Cardamine pratensis
Andrena_alfkenella,Brassicaceae,Cardaria,Cardaria draba
Andrena_alfkenella,Apiaceae,Daucus,Daucus carota
Andrena_alfkenella,Apiaceae,Falcaria,Falcaria vulgaris
Andrena_alfkenella,Rosaceae,Fragaria,Fragaria vesca
Andrena_alfkenella,Apiaceae,Pastinaca,Pastinaca sativa
Andrena_alfkenella,Rosaceae,Potentilla,Potentilla neumanniana
Andrena_alfkenella,Brassicaceae,Sinapis,Sinapis arvensis
Andrena_alfkenella,Brassicaceae,Thlaspi,Thlaspi arvense
Andrena_alfkenella,Plantaginaceae,Veronica,Veronica chamaedrys
Andrena_algida,Salicaceae,Salix,NA
Andrena_aliciae,Asteraceae,Helianthus,NA
Andrena_aliciae,Asteraceae,Bidens,NA
Andrena_aliciae,Asteraceae,Rudbeckia,NA
Andrena_aliciae,Asteraceae,Silphium,NA
Andrena_aliciae,Asteraceae,Solidago,NA
Andrena_aliciae,Asteraceae,Symphyotrichum,NA
Andrena_aliciae,Asteraceae,Helianthus,NA
Andrena_aliciarum,Asteraceae,Hymenothrix,NA
Andrena_aliciarum,Asteraceae,Pectis,NA
Andrena_alleghaniensis,Rosaceae,NA,NA
Andrena_alleghaniensis,Adoxaceae,NA,NA
Andrena_alleghaniensis,Brassicaceae,NA,NA
Andrena_alleghaniensis,Salicaceae,NA,NA
Andrena_alleghaniensis,Apiaceae,NA,NA
Andrena_alutacea,Apiaceae,NA,NA
Andrena_anatolis,Onagraceae,Camissonia,NA
Andrena_andrenoides,Salicaceae,Salix,NA
Andrena_angustior,Rosaceae,Fragaria,Fragaria x ananassa
Andrena_angustior,Asparagaceae,Hyacinthoides,Hyacinthoides
Andrena_angustior,Aquifoliaceae,Ilex,Ilex aquifolium
Andrena_angustior,Boraginaceae,Borago,Borago officinalis
Andrena_angustior,Ranunculaceae,Ranunculus,Ranunculus acris
Andrena_angustior,Caryophyllaceae,Stellaria,Stellaria holostea
Andrena_angustior,Plantaginaceae,Veronica,Veronica chamaedrys
Andrena_angustior,Campanulaceae,Campanula,NA
Andrena_angustior,Amaryllidaceae,Narcissus,NA
Andrena_angustitarsata,Rosaceae,NA,NA
Andrena_angustitarsata,Apiaceae,NA,NA
Andrena_annectens,Salicaceae,Salix,NA
Andrena_anograe,Onagraceae,Oenothera,NA
Andrena_anograe,Cactaceae,Opuntia,NA
Andrena_anthrisci,Apiaceae,Anthriscus,Anthriscus sylvestris
Andrena_anthrisci,Plantaginaceae,Veronica,Veronica chamaedrys
Andrena_apacheorum,Asteraceae,Cirsium,NA
Andrena_apacheorum,Asteraceae,Ericameria,NA
Andrena_apacheorum,Asteraceae,Erigeron,NA
Andrena_apacheorum,Asteraceae,Solidago,NA
Andrena_apasta,Onagraceae,Camissonia,NA
Andrena_apicata,Salicaceae,Salix,Salix alba
Andrena_apicata,Salicaceae,Salix,Salix aurita
Andrena_apicata,Salicaceae,Salix,Salix caprea
Andrena_apicata,Salicaceae,Salix,Salix cinerea
Andrena_apicata,Salicaceae,Salix,Salix fragilis
Andrena_apicata,Salicaceae,Salix,Salix hastata
Andrena_apicata,Salicaceae,Salix,Salix helvetica
Andrena_apicata,Rosaceae,Prunus,Prunus spinosa
Andrena_apicata,Rosaceae,Prunus,Prunus avium
Andrena_arabis,Brassicaceae,Arabis,NA
Andrena_arabis,Brassicaceae,Cardamine,NA
Andrena_arctostaphylae,Ericaceae,Arctostaphylos,NA
Andrena_ardis,Asteraceae,Chrysothamnus,NA
Andrena_ardis,Asteraceae,Gutierrezia,NA
Andrena_ardis,Asteraceae,NA,NA
Andrena_arenicola,Salicaceae,Salix,NA
Andrena_argentata,Fagaceae,Castanea,Castanea sativa
Andrena_argentata,Ericaceae,Erica,Erica cinerea
Andrena_argentata,Ericaceae,Calluna,Calluna vulgaris
Andrena_argentata,Boraginaceae,Borago,Borago officinalis
Andrena_argentata,Ericaceae,Calluna,Calluna vulgaris
Andrena_argentata,Rosaceae,Crataegus,Crataegus laevigata
Andrena_argentata,Apiaceae,Daucus,Daucus carota
Andrena_argentata,Apiaceae,Eryngium,Eryngium campestre
Andrena_argentata,Apiaceae,Falcaria,Falcaria vulgaris
Andrena_argentata,Apiaceae,Heracleum,Heracleum sphondylium
Andrena_argentata,Asteraceae,Hieracium,Hieracium pilosella
Andrena_argentata,Rosaceae,Potentilla,Potentilla neumanniana
Andrena_argentata,Salicaceae,Salix,Salix alba
Andrena_argentata,Brassicaceae,Sinapis,Sinapis arvensis
Andrena_argentata,Asteraceae,Taraxacum,Taraxacum officinale
Andrena_argentata,Malvaceae,Tilia,Tilia cordata
Andrena_assimilis,Asteraceae,Centaurea,Centaurea scabiosa
Andrena_assimilis,Asteraceae,Centaurea,Centaurea stoebe
Andrena_assimilis,Boraginaceae,Echium,Echium vulgare
Andrena_assimilis,Apiaceae,Heracleum,Heracleum sphondylium
Andrena_assimilis,Campanulaceae,Jasione,Jasione montana
Andrena_asteris,Asteraceae,Solidago,NA
Andrena_asteris,Asteraceae,Symphyotrichum,NA
Andrena_asteris,Asteraceae,Aster,NA
Andrena_asteris,Asteraceae,NA,NA
Andrena_asteroides,Asteraceae,Symphyotrichum,NA
Andrena_asteroides,Asteraceae,Aster,NA
Andrena_asteroides,Asteraceae,NA,NA
Andrena_astragali,Liliaceae,Toxicoscordion,Toxicoscordion paniculatum
Andrena_astragali,Melanthiaceae,NA,NA
Andrena_atrata,Apiaceae,NA,NA
Andrena_aurihirta,Asteraceae,Baccharis,NA
Andrena_aurihirta,Asteraceae,Chrysothamnus,NA
Andrena_aurihirta,Asteraceae,Ericameria,NA
Andrena_aurihirta,Asteraceae,Gutierrezia,NA
Andrena_aurihirta,Asteraceae,Isocoma,NA
Andrena_aurihirta,Asteraceae,Solidago,NA
Andrena_auripes,Asteraceae,NA,NA
Andrena_baeriae,Asteraceae,Lasthenia,NA
Andrena_balsamorhizae,Asteraceae,Balsamorhiza,NA
Andrena_balsamorhizae,Asteraceae,Enceliopsis,NA
Andrena_balsamorhizae,Asteraceae,NA,NA
Andrena_balsamorhizae,Asteraceae,NA,NA
Andrena_barbareae,Brassicaceae,Biscutella,Biscutella laevigata
Andrena_barbareae,Cistaceae,Helianthemum,Helianthemum nummularium
Andrena_barbareae,Brassicaceae,Isatis,Isatis tinctoria
Andrena_barberi,Asteraceae,Bidens,NA
Andrena_barberi,Asteraceae,Heterotheca,NA
Andrena_barberi,Asteraceae,Rudbeckia,NA
Andrena_barberi,Asteraceae,Solidago,NA
Andrena_barbilabris,Sapindaceae,Acer,Acer pseudoplatanus
Andrena_barbilabris,Cornaceae,Cornus,Cornus sanguinea
Andrena_barbilabris,Rosaceae,Crataegus,Crataegus monogyna
Andrena_barbilabris,Brassicaceae,Sinapis,Sinapis alba
Andrena_barbilabris,Fagaceae,Quercus,Quercus robur
Andrena_barbilabris,Sapindaceae,Acer,Acer campestre
Andrena_barbilabris,Sapindaceae,Acer,Acer pseudoplatanus
Andrena_barbilabris,Apiaceae,Aegopodium,Aegopodium podagraria
Andrena_barbilabris,Apiaceae,Anthriscus,Anthriscus sylvestris
Andrena_barbilabris,Boraginaceae,Borago,Borago officinalis
Andrena_barbilabris,Apiaceae,Chaerophyllum,Chaerophyllum temulum
Andrena_barbilabris,Cornaceae,Cornus,Cornus sanguinea
Andrena_barbilabris,Rosaceae,Crataegus,Crataegus monogyna
Andrena_barbilabris,Asteraceae,Crepis,Crepis biennis
Andrena_barbilabris,Apiaceae,Heracleum,Heracleum sphondylium
Andrena_barbilabris,Asteraceae,Hypochaeris,Hypochaeris radicata
Andrena_barbilabris,Aquifoliaceae,Ilex,Ilex aquifolium
Andrena_barbilabris,Campanulaceae,Jasione,Jasione montana
Andrena_barbilabris,Oleaceae,Ligustrum,Ligustrum vulgare
Andrena_barbilabris,Rosaceae,Prunus,Prunus avium
Andrena_barbilabris,Ranunculaceae,Ranunculus,Ranunculus bulbosus
Andrena_barbilabris,Rosaceae,Rosa,Rosa canina
Andrena_barbilabris,Salicaceae,Salix,Salix purpurea
Andrena_barbilabris,Brassicaceae,Sinapis,Sinapis alba
Andrena_barbilabris,Brassicaceae,Sinapis,Sinapis arvensis
Andrena_barbilabris,Asteraceae,Taraxacum,Taraxacum officinale
Andrena_barbilabris,Plantaginaceae,Veronica,Veronica chamaedrys
Andrena_barbilabris,Rosaceae,Potentilla,NA
Andrena_batava,Salicaceae,Salix,NA
Andrena_beameri,Asteraceae,Coreopsis,NA
Andrena_beameri,Asteraceae,Echinacea,NA
Andrena_beameri,Asteraceae,NA,NA
Andrena_bendensis,Asteraceae,Ericameria,NA
Andrena_berberidis,Grossulariaceae,Ribes,NA
Andrena_berkeleyi,Asteraceae,Engelmannia,NA
Andrena_berkeleyi,Asteraceae,Hymenoxys,NA
Andrena_berkeleyi,Asteraceae,Tetraneuris,NA
Andrena_berkeleyi,Asteraceae,NA,NA
Andrena_bernardina,Onagraceae,Clarkia,NA
Andrena_bicolor,Cucurbitaceae,Bryonia,Bryonia dioica
Andrena_bicolor,Primulaceae,Primula,Primula vulgaris
Andrena_bicolor,Ranunculaceae,Ranunculus,Ranunculus ficaria
Andrena_bicolor,Apiaceae,Heracleum,Heracleum sphondylium
Andrena_bicolor,Brassicaceae,Cardamine,Cardamine pratensis
Andrena_bicolor,Rosaceae,Potentilla,Potentilla neumanniana
Andrena_bicolor,Ranunculaceae,Ranunculus,Ranunculus acris
Andrena_bicolor,Ranunculaceae,Ranunculus,Ranunculus ficaria
Andrena_bicolor,Salicaceae,Salix,Salix aurita
Andrena_bicolor,Solanaceae,Atropa,Atropa belladonna
Andrena_bicolor,Lamiaceae,Ballota,Ballota nigra
Andrena_bicolor,Asteraceae,Bellis,Bellis perennis
Andrena_bicolor,Boraginaceae,Borago,Borago officinalis
Andrena_bicolor,Brassicaceae,Brassica,Brassica oleracea
Andrena_bicolor,Cucurbitaceae,Bryonia,Bryonia dioica
Andrena_bicolor,Campanulaceae,Campanula,Campanula cervicaria
Andrena_bicolor,Campanulaceae,Campanula,Campanula glomerata
Andrena_bicolor,Campanulaceae,Campanula,Campanula patula
Andrena_bicolor,Campanulaceae,Campanula,Campanula persicifolia
Andrena_bicolor,Campanulaceae,Campanula,Campanula poscharskyana
Andrena_bicolor,Campanulaceae,Campanula,Campanula rapunculoides
Andrena_bicolor,Campanulaceae,Campanula,Campanula rapunculus
Andrena_bicolor,Campanulaceae,Campanula,Campanula rotundifolia
Andrena_bicolor,Campanulaceae,Campanula,Campanula trachelium
Andrena_bicolor,Convolvulaceae,Convolvulus,Convolvulus arvensis
Andrena_bicolor,Rosaceae,Crataegus,Crataegus laevigata
Andrena_bicolor,Asteraceae,Crepis,Crepis capillaris
Andrena_bicolor,Geraniaceae,Geranium,Geranium robertianum
Andrena_bicolor,Geraniaceae,Geranium,Geranium sylvaticum
Andrena_bicolor,Ranunculaceae,Helleborus,Helleborus foetidus
Andrena_bicolor,Hypericaceae,Hypericum,Hypericum perforatum
Andrena_bicolor,Asteraceae,Hypochaeris,Hypochaeris radicata
Andrena_bicolor,Campanulaceae,Jasione,Jasione montana
Andrena_bicolor,Asteraceae,Leontodon,Leontodon autumnalis
Andrena_bicolor,Brassicaceae,Lunaria,Lunaria annua
Andrena_bicolor,Caryophyllaceae,Lychnis,Lychnis flos-cuculi
Andrena_bicolor,Asparagaceae,Ornithogalum,Ornithogalum umbellatum
Andrena_bicolor,Primulaceae,Primula,Primula elatior
Andrena_bicolor,Primulaceae,Primula,Primula veris
Andrena_bicolor,Primulaceae,Primula,Primula vulgaris
Andrena_bicolor,Rosaceae,Prunus,Prunus domestica
Andrena_bicolor,Rosaceae,Prunus,Prunus spinosa
Andrena_bicolor,Boraginaceae,Pulmonaria,Pulmonaria officinalis
Andrena_bicolor,Rosaceae,Rosa,Rosa canina
Andrena_bicolor,Rosaceae,Rubus,Rubus fruticosus
Andrena_bicolor,Salicaceae,Salix,Salix caprea
Andrena_bicolor,Salicaceae,Salix,Salix cinerea
Andrena_bicolor,Salicaceae,Salix,Salix purpurea
Andrena_bicolor,Salicaceae,Salix,Salix repens
Andrena_bicolor,Asparagaceae,Scilla,Scilla siberica
Andrena_bicolor,Brassicaceae,Sinapis,Sinapis arvensis
Andrena_bicolor,Rosaceae,Spiraea,Spiraea salicifolia
Andrena_bicolor,Asteraceae,Taraxacum,Taraxacum officinale
Andrena_bicolor,Asteraceae,Tussilago,Tussilago farfara
Andrena_bicolor,Plantaginaceae,Veronica,Veronica chamaedrys
Andrena_bicolor,Plantaginaceae,Veronica,Veronica officinalis
Andrena_bimaculata,Fagaceae,Castanea,Castanea sativa
Andrena_bimaculata,Rosaceae,Crataegus,Crataegus monogyna
Andrena_bimaculata,Rosaceae,Filipendula,Filipendula ulmaria
Andrena_bimaculata,Rosaceae,Rubus,Rubus fruticosus
Andrena_bimaculata,Salicaceae,Salix,Salix triandra
Andrena_bimaculata,Amaryllidaceae,Allium,Allium cepa
Andrena_bimaculata,Boraginaceae,Borago,Borago officinalis
Andrena_bimaculata,Asteraceae,Picris,Picris hieracioides
Andrena_bimaculata,Rosaceae,Prunus,Prunus spinosa
Andrena_bimaculata,Rosaceae,Rubus,Rubus fruticosus
Andrena_bimaculata,Brassicaceae,Sinapis,Sinapis arvensis
Andrena_bimaculata,Brassicaceae,Sisymbrium,Sisymbrium officinale
Andrena_bimaculata,Rosaceae,Fragaria,NA
Andrena_bimaculata,Rosaceae,Spiraea,NA
Andrena_bimaculata,Malvaceae,Tilia,NA
Andrena_birtwelli,Rosaceae,Potentilla,NA
Andrena_bisalicis,Salicaceae,Salix,NA
Andrena_biscutellata,Asteraceae,Gaillardia,NA
Andrena_biscutellata,Asteraceae,NA,NA
Andrena_blaisdelli,Onagraceae,Camissonia,NA
Andrena_blennospermatis,Asteraceae,Blennosperma,Blennosperma nanum
Andrena_blennospermatis,Asteraceae,Blennosperma,Blennosperma bakeri
Andrena_blennospermatis,Asteraceae,Lasthenia,NA
Andrena_bocensis,Asteraceae,Solidago,NA
Andrena_boronensis,Onagraceae,Camissonia,NA
Andrena_braccata,Asteraceae,Euthamia,NA
Andrena_braccata,Asteraceae,Solidago,NA
Andrena_bradleyi,Ericaceae,Kalmia,NA
Andrena_bradleyi,Ericaceae,Vaccinium,NA
Andrena_bradleyi,Ericaceae,Chamaedaphne,NA
Andrena_brevipalpis,Anacardiaceae,Rhus,NA
Andrena_brooksi,Asteraceae,Simsia,NA
Andrena_bucculenta,Salicaceae,Salix,NA
Andrena_bucephala,Rosaceae,Crataegus,Crataegus monogyna
Andrena_bucephala,Sapindaceae,Acer,Acer campestre
Andrena_bucephala,Sapindaceae,Acer,Acer pseudoplatanus
Andrena_bucephala,Rosaceae,Crataegus,Crataegus laevigata
Andrena_bucephala,Rosaceae,Prunus,Prunus avium
Andrena_bucephala,Rosaceae,Prunus,Prunus spinosa
Andrena_bucephala,Salicaceae,Salix,Salix caprea
Andrena_bucephala,Apiaceae,Anthriscus,NA
Andrena_buckelli,Fabaceae,NA,NA
Andrena_bullata,Asteraceae,Heterotheca,NA
Andrena_caerulea,Ranunculaceae,Ranunculus,NA
Andrena_caliginosa,Grossulariaceae,Ribes,NA
Andrena_calvata,Asteraceae,Viguiera,NA
Andrena_camissoniae,Onagraceae,Camissonia,NA
Andrena_canadensis,Asteraceae,Solidago,NA
Andrena_canadensis,Asteraceae,Symphyotrichum,NA
Andrena_canadensis,Asteraceae,Chrysothamnus,NA
Andrena_canadensis,Asteraceae,Eurybia,NA
Andrena_canadensis,Asteraceae,Grindelia,NA
Andrena_canadensis,Asteraceae,Gutierrezia,NA
Andrena_candidiformis,Rhamnaceae,Ceanothus,NA
Andrena_candidiformis,Apiaceae,Lomatium,NA
Andrena_capricornis,Brassicaceae,Descurainia,NA
Andrena_capricornis,Brassicaceae,Lepidium,NA
Andrena_capricornis,Brassicaceae,Lesquerella,NA
Andrena_capricornis,Brassicaceae,Physaria,NA
Andrena_carlini,Rosaceae,NA,NA
Andrena_carlini,Salicaceae,NA,NA
Andrena_carlini,Ericaceae,NA,NA
Andrena_carlini,Fagaceae,NA,NA
Andrena_carlini,Brassicaceae,NA,NA
Andrena_carlini,Sapindaceae,NA,NA
Andrena_carolina,Ericaceae,Gaylussacia,NA
Andrena_carolina,Ericaceae,Vaccinium,NA
Andrena_ceanothi,Ericaceae,Vaccinium,NA
Andrena_ceanothi,Rosaceae,Rubus,NA
Andrena_ceanothi,Rhamnaceae,NA,NA
Andrena_ceanothi,Anacardiaceae,NA,NA
Andrena_ceanothi,Salicaceae,NA,NA
Andrena_ceanothi,Cornaceae,NA,NA
Andrena_chalybaea,Onagraceae,Camissonia,Camissonia ovata
Andrena_chalybioides,Asteraceae,Agoseris,NA
Andrena_chaparralensis,Asteraceae,Aphanostephus,NA
Andrena_chaparralensis,Asteraceae,Astranthium,NA
Andrena_chapmanae,Boraginaceae,Cryptantha,NA
Andrena_chapmanae,Boraginaceae,Hackelia,NA
Andrena_cheyennorum,Caprifoliaceae,Symphoricarpos,NA
Andrena_chlorosoma,Asteraceae,Agoseris,NA
Andrena_chromotricha,Asteraceae,Grindelia,NA
Andrena_chromotricha,Asteraceae,Helianthus,NA
Andrena_chromotricha,Asteraceae,Solidago,NA
Andrena_chromotricha,Asteraceae,Symphyotrichum,NA
Andrena_chrysopus,Fabaceae,Anthyllis,Anthyllis vulneraria
Andrena_chrysopus,Asparagaceae,Asparagus,NA
Andrena_chrysopyga,Asteraceae,Achillea,Achillea millefolium
Andrena_chrysopyga,Apiaceae,Anthriscus,Anthriscus sylvestris
Andrena_chrysopyga,Brassicaceae,Berteroa,Berteroa incana
Andrena_chrysopyga,Apiaceae,Heracleum,Heracleum sphondylium
Andrena_chrysopyga,Asteraceae,Hieracium,Hieracium pilosella
Andrena_chrysopyga,Plantaginaceae,Plantago,Plantago lanceolata
Andrena_chrysopyga,Ranunculaceae,Ranunculus,Ranunculus acris
Andrena_chrysopyga,Brassicaceae,Sinapis,Sinapis arvensis
Andrena_chrysopyga,Brassicaceae,Sisymbrium,Sisymbrium orientale
Andrena_chrysopyga,Asteraceae,Taraxacum,Taraxacum officinale
Andrena_chrysopyga,Fabaceae,Trifolium,Trifolium pratense
Andrena_chrysopyga,Fabaceae,Vicia,Vicia sepium
Andrena_chrysosceles,Apiaceae,Heracleum,Heracleum sphondylium
Andrena_chrysosceles,Apiaceae,Chaerophyllum,Chaerophyllum temulum
Andrena_chrysosceles,Rosaceae,Crataegus,Crataegus monogyna
Andrena_chrysosceles,Brassicaceae,Brassica,Brassica napus
Andrena_chrysosceles,Brassicaceae,Sisymbrium,Sisymbrium officinale
Andrena_chrysosceles,Brassicaceae,Cardamine,Cardamine pratensis
Andrena_chrysosceles,Sapindaceae,Acer,Acer campestre
Andrena_chrysosceles,Apiaceae,Aegopodium,Aegopodium podagraria
Andrena_chrysosceles,Apiaceae,Anthriscus,Anthriscus sylvestris
Andrena_chrysosceles,Brassicaceae,Barbarea,Barbarea vulgaris
Andrena_chrysosceles,Boraginaceae,Borago,Borago officinalis
Andrena_chrysosceles,Brassicaceae,Brassica,Brassica rapa
Andrena_chrysosceles,Brassicaceae,Bunias,Bunias orientalis
Andrena_chrysosceles,Apiaceae,Chaerophyllum,Chaerophyllum temulum
Andrena_chrysosceles,Cornaceae,Cornus,Cornus sanguinea
Andrena_chrysosceles,Rosaceae,Crataegus,Crataegus laevigata
Andrena_chrysosceles,Asteraceae,Crepis,Crepis biennis
Andrena_chrysosceles,Cistaceae,Helianthemum,Helianthemum nummularium
Andrena_chrysosceles,Apiaceae,Heracleum,Heracleum sphondylium
Andrena_chrysosceles,Aquifoliaceae,Ilex,Ilex aquifolium
Andrena_chrysosceles,Apiaceae,Laserpitium,Laserpitium siler
Andrena_chrysosceles,Brassicaceae,Isatis,Isatis tinctoria
Andrena_chrysosceles,Apiaceae,Orlaya,Orlaya grandiflora
Andrena_chrysosceles,Rosaceae,Potentilla,Potentilla neumanniana
Andrena_chrysosceles,Ranunculaceae,Ranunculus,Ranunculus acris
Andrena_chrysosceles,Ranunculaceae,Ranunculus,Ranunculus bulbosus
Andrena_chrysosceles,Rosaceae,Rosa,Rosa canina
Andrena_chrysosceles,Salicaceae,Salix,Salix purpurea
Andrena_chrysosceles,Crassulaceae,Sedum,Sedum album
