providedName,finalName,geo_informed
Melissodes gelida,Melissodes gelidus,FALSE
Melissodes illata,Melissodes illatus,FALSE
Melissodes intorta,Melissodes intortus,FALSE
Melissodes lustra,Melissodes lustrus,FALSE
Melissodes lutulenta,Melissodes lutulentus,FALSE
Melissodes maesta,Melissodes maestus,FALSE
Melissodes melanura,Melissodes melanurus,FALSE
Melissodes metenuus,Melissodes metenua,FALSE
Melissodes microsticta,Melissodes microstictus,FALSE
Melissodes minuscula,Melissodes minusculus,FALSE
Melissodes montana,Melissodes montanus,FALSE
Melissodes nivea,Melissodes niveus,FALSE
Melissodes opuntiella,Melissodes opuntiellus,FALSE
Melissodes pallidisignata,Melissodes pallidisignatus,FALSE
Melissodes paulula,Melissodes paululus,FALSE
Melissodes perlusa,Melissodes perlusus,FALSE
Melissodes perpolita,Melissodes perpolitus,FALSE
Melissodes personatella,Melissodes personatellus,FALSE
Melissodes pilleata,Melissodes pilleatus,FALSE
Melissodes plumosa,Melissodes plumosus,FALSE
Melissodes pullatella,Melissodes pullatellus,FALSE
Melissodes semilupina,Melissodes semilupinus,FALSE
Melissodes subillata,Melissodes subillatus,FALSE
Melissodes tessellata,Melissodes tessellatus,FALSE
Melissodes tincta,Melissodes tinctus,FALSE
Melissodes velutina,Melissodes velutinus,FALSE
Perdita larrearum,Perdita larreae,FALSE
Perdita xanthisma,Perdita xanthismae,FALSE
Megachile bucephala,Osmia bucephala,FALSE
Agapostemon borealis,Agapostemon texanus,FALSE
Agapostemon californicus,Agapostemon texanus,FALSE
Agapostemon cockerelli,Agapostemon obliquus,FALSE
Agapostemon coloradensis,Agapostemon coloradinus,FALSE
Agapostemon fasciatus,Agapostemon melliventris,FALSE
Agapostemon proscriptus,Agapostemon texanus,FALSE
Agapostemon sulcatulus,Agapostemon sericeus,FALSE
Alcidamea biscutellae,Hoplitis biscutellae,FALSE
Alcidamea brachyodonta,Hoplitis brachyodonta,FALSE
Alcidamea colei,Hoplitis colei,FALSE
Alcidamea mucronata,Hoplitis pilosifrons,FALSE
Alcidamea pilosifrons,Hoplitis pilosifrons,FALSE
Alcidamea producta,Hoplitis producta,FALSE
Alcidamea truncata,Hoplitis truncata,FALSE
Alcidamea uvulalis,Hoplitis uvulalis,FALSE
Andrena abacta,Andrena nigrae,FALSE
Andrena acra,Andrena wilmattae,FALSE
Andrena adelae,Andrena bisalicis,FALSE
Andrena advarians,Andrena vicinoides,FALSE
Andrena agricolarum,Andrena medionitens,FALSE
Andrena albisigna,Andrena algida,FALSE
Andrena albosellata,Andrena thaspii,FALSE
Andrena albovirgata,Andrena xanthigera,FALSE
Andrena angustifrons,Andrena cheyennorum,FALSE
Andrena arenakensis,Andrena hippotes,FALSE
Andrena arizonensis,Andrena prunorum,FALSE
Andrena ashmeadi,Andrena gardineri,FALSE
Andrena atala,Andrena segregans,FALSE
Andrena aureocincta,Andrena simulata,FALSE
Andrena austrocalifornica,Andrena cyanosoma,FALSE
Andrena azygos,Andrena thaspii,FALSE
Andrena barbarica,Andrena platyparia,FALSE
Andrena belfragei,Andrena perplexa,FALSE
Andrena beulahensis,Andrena chromotricha,FALSE
Andrena bifurcata,Andrena erigeniae,FALSE
Andrena bipunctata,Andrena miserabilis,FALSE
Andrena bisignata,Andrena tridens,FALSE
Andrena blandula,Andrena dissimulans,FALSE
Andrena brevibasis,Andrena striatifrons,FALSE
Andrena bridwelli,Andrena cressonii,FALSE
Andrena brunniventris,Andrena perplexa,FALSE
