scientificName,med_lat,med_long,n_chesshire,area_m2,area_ha,spherical_geometry,mean_doy,med_doy,quant10,quant90,flight_season
Andrena argemonis,31.7,-105.964,111,2198709373615.2039,219870937.3615204,TRUE,213.35443037974684,220,177.39999999999998,240,62.60000000000002
Andrena asteris,41.768,-78.457,287,3524124999039.378,352412499.9039378,TRUE,254.77611940298507,262,238,280,42
Andrena asteroides,36.428,-77.884,23,426733316159.0143,42673331.61590143,TRUE,257.2,276.5,249.00000000000006,299,49.99999999999994
Andrena astragali,41.229,-112.712,99,2140841029210.724,214084102.92107242,TRUE,126.45652173913044,138,67.2,173,105.8
Andrena atlantica,35.131,-79.43,65,1273050654174.5361,127305065.41745362,TRUE,114.77083333333333,123,82.1,152,69.9
Andrena atypica,33.998,-117.9995,114,177013286020.53784,17701328.602053784,TRUE,100.58490566037736,100,63,141.5,78.5
Andrena auricoma,37.342,-119.596,325,2028842761440.8494,202884276.14408496,TRUE,122.80427046263345,122,88,155,67
Andrena aurihirta,33.956,-117.372,56,39138773254.823425,3913877.325482343,TRUE,273.22222222222223,270,252.6,293.4,40.79999999999998
Andrena auripes,29.6935,-108.32,2,15589478569.183716,1558947.8569183717,TRUE,266,266,266,266,0
Andrena avulsa,29.45,-98.454,5,30402653965.172394,3040265.3965172395,TRUE,93.4,92,83.4,104.2,20.799999999999997
Andrena baeriae,33.956,-117.372,46,123460270507.00946,12346027.050700946,TRUE,96.875,96,73.89999999999999,117.4,43.500000000000014
Andrena balsamorhizae,36.304500000000004,-114.471,32,4153109712.70665,415310.971270665,TRUE,96.14285714285714,95.5,84.7,106.5,21.799999999999997
Andrena banksi,38.864,-76.942,115,2198060225841.8364,219806022.58418366,TRUE,112.95370370370371,115,81.7,152.6,70.89999999999999
Andrena barbara,38.9765,-77.172,584,1945257217409.9321,194525721.74099323,TRUE,111.94756554307116,110,84,136,52
Andrena barberi,20.062,-99.124,33,767384442888.0658,76738444.28880659,TRUE,248.89655172413794,236,218.2,313.4,95.19999999999999
Andrena barbilabris,41.965999999999994,-93.1845,400,13214517156193.885,1321451715.6193886,TRUE,143.52851711026616,141,107,184.8,77.80000000000001
Andrena beameri,37.616,-93.401,15,79440559090.82956,7944055.909082957,TRUE,153.5,168,149.1,175.8,26.700000000000017
Andrena bendensis,38.96,-119.33,11,218664311284.80692,21866431.12848069,TRUE,244.5,244.5,235.8,253.60000000000002,17.80000000000001
Andrena berberidis,41.418,-111.8035,16,918345248293.6914,91834524.82936914,TRUE,113.3076923076923,122,89,147.8,58.80000000000001
Andrena berkeleyi,32.918,-102.513,12,1575938185441.8818,157593818.5441882,TRUE,143.88888888888889,154,100,192.39999999999998,92.39999999999998
Andrena bernardina,34.243,-117.309,14,42763549163.517334,4276354.916351734,TRUE,150.25,158.5,106,180.8,74.80000000000001
Andrena biareola,36.37,-121.49,13,64458667792.69055,6445866.779269055,TRUE,98.38461538461539,115,78.8,118,39.2
Andrena birtwelli,40.012,-111.621,239,1753819585917.6462,175381958.59176463,TRUE,194.47142857142856,194.5,173.9,216,42.099999999999994
Andrena bisalicis,39.961,-78.639,207,3414171593210.002,341417159.3210002,TRUE,110.96774193548387,108,81.60000000000001,139.4,57.8
Andrena biscutellata,37.016999999999996,-100.91499999999999,4,167973746468.2979,16797374.64682979,TRUE,144,142,126.8,162,35.2
Andrena blaisdelli,33.953,-117.372,29,14557392465.037811,1455739.2465037813,TRUE,99.23076923076923,94,64,134,70
Andrena blennospermatis,38.512,-121.943,18,30421033119.08899,3042103.311908899,TRUE,42.27777777777778,53.5,1,90.20000000000002,89.20000000000002
Andrena bocensis,41.992,-121.142,3,15871426194.269226,1587142.6194269226,TRUE,229.5,229.5,229.1,229.89999999999998,0.799999999999983
Andrena boronensis,35.0085,-117.585,12,157396970206.33252,15739697.020633252,TRUE,88.33333333333333,96.5,78.2,102,23.799999999999997
Andrena braccata,41.39,-72.45,103,524056780918.1165,52405678.09181166,TRUE,247.45283018867926,256,236.2,270.8,34.60000000000002
Andrena bradleyi,41.4645,-74.029,228,2793326719899.3516,279332671.98993516,TRUE,130.16239316239316,127,100,154.4,54.400000000000006
Andrena brevicornis,30.375,-99.6485,8,145766439381.13596,14576643.938113596,TRUE,101.14285714285714,99,88,120,32
Andrena brevipalpis,41.0945,-77.173,258,3404271355412.0615,340427135.5412062,TRUE,169.47297297297297,175,121,204.60000000000002,83.60000000000002
Andrena brooksi,31.9,-108.806,3,482355307.21917725,48235.53072191773,TRUE,254.5,254.5,247.7,261.3,13.600000000000023
Andrena bruneri,38.64,-109.838,29,778483563123.6409,77848356.31236409,TRUE,144.36,133,125,163.60000000000002,38.60000000000002
Andrena buccata,38.275,-122.0955,12,31611799122.94879,3161179.912294879,TRUE,96.16666666666667,99,78,113.6,35.599999999999994
Andrena bucculenta,37.882,-121.884,31,156887717302.56372,15688771.730256373,TRUE,108.53846153846153,98,77.5,142,64.5
Andrena buckelli,38.899,-117.795,131,2210103187087.018,221010318.70870182,TRUE,182.1509433962264,184,160.5,202,41.5
Andrena bullata,30.667,-96.467,10,169713059926.22974,16971305.992622975,TRUE,289.9,300,259.6,316,56.39999999999998
Andrena caerulea,37.992,-121.996,351,1206836507978.7048,120683650.79787049,TRUE,118.493006993007,111,74.5,171,96.5
Andrena californiensis,33.9795,-117.395,44,198063772119.56055,19806377.211956054,TRUE,100.5,101,72.3,120.6,48.3
Andrena caliginosa,37.382999999999996,-120.8965,10,96907847406.56293,9690784.740656294,TRUE,88.625,60.5,35,161.5,126.5
Andrena calvata,34.7625,-109.131,4,131554581999.18161,13155458.199918162,TRUE,220,251.5,148,266.8,118.80000000000001
Andrena camissoniae,35.665,-120.80199999999999,2,9099111598.09961,909911.159809961,TRUE,157.5,157.5,156.29999999999998,158.70000000000002,2.400000000000034
Andrena canadensis,42.8,-83.912,211,5907496744856.242,590749674.4856242,TRUE,234.26356589147287,240,210.8,261,50.19999999999999
Andrena candida,37.333,-117.372,833,4889043408223.453,488904340.8223453,TRUE,116.43472584856391,120,53,175.5,122.5
Andrena candidiformis,38.668000000000006,-120.586,212,1496967263829.7,149696726.38297,TRUE,135.94054054054055,139,97.4,170.6,73.19999999999999
Andrena capricornis,32.222,-109.273,43,1297019814342.1592,129701981.43421592,TRUE,95.83333333333333,94,77.5,118.5,41
Andrena carlini,40.488,-76.636,2405,6248377879918.492,624837787.9918493,TRUE,122.58544140423339,118,93,158,65
Andrena carolina,42.682500000000005,-73.156,294,3701157178545.2827,370115717.8545283,TRUE,150.0212765957447,151,130.7,169,38.30000000000001
Andrena ceanothi,42.603,-82.467,179,2755784772345.555,275578477.23455554,TRUE,152.1496062992126,153,125,178,53
Andrena ceanothifloris,38.829,-119.93299999999999,132,1484600540017.35,148460054.00173503,TRUE,169.91935483870967,172,149.3,190.70000000000002,41.400000000000006
Andrena cerasifolii,35.3735,-117.372,568,4277586905722.067,427758690.57220674,TRUE,123.73572938689217,133,54.2,178,123.8
Andrena cercocarpi,37.427,-121.971,67,724179628609.6979,72417962.8609698,TRUE,113.96491228070175,110,83.2,139,55.8
Andrena cerebrata,33.179500000000004,-85.2255,8,21529738413.35231,2152973.841335231,TRUE,108.625,107,92.4,124.30000000000001,31.900000000000006
Andrena chalybaea,37.7215,-122.1695,44,28285653674.365707,2828565.367436571,TRUE,84.36842105263158,86,59.7,103.30000000000001,43.60000000000001
Andrena chalybioides,38.535,-120.376,29,938393032523.4037,93839303.25234038,TRUE,117.5,120,80.30000000000001,143.70000000000002,63.400000000000006
Andrena chaparralensis,28.4315,-99.757,4,3340979310.4087887,334097.9310408789,TRUE,74,65,55,100.2,45.2
Andrena chapmanae,37.822,-119.476,81,1011439739259.3875,101143973.92593876,TRUE,147.03125,150,113.9,174.7,60.79999999999998
Andrena cheyennorum,41.041,-113.082,27,954779515481.0801,95477951.54810801,TRUE,168.68421052631578,170,152,187,35
Andrena chlorogaster,37.835,-120.586,427,1532883160443.6042,153288316.04436043,TRUE,101.83544303797467,100,64.4,140.20000000000005,75.80000000000004
Andrena chlorosoma,37.872,-122.067,48,99558222160.09918,9955822.216009919,TRUE,108.42857142857143,102,81.4,137.9,56.5
Andrena chlorura,37.798,-118.84,203,1519770983140.3975,151977098.31403977,TRUE,102.6374269005848,105,63,137,74
Andrena chromotricha,43.039,-96.338,65,3160232966115.826,316023296.61158264,TRUE,218.18421052631578,220.5,206.1,240.50000000000003,34.400000000000034
Andrena chylismiae,39.34,-117.87299999999999,12,503106826711.8948,50310682.67118948,TRUE,150.0909090909091,157,116,174,58
Andrena citrinihirta,38.005,-120.847,17,348828362417.34766,34882836.241734765,TRUE,268.7142857142857,268.5,252.6,287,34.400000000000006
Andrena clarkella,45.754,-76.426,145,6521311518438.512,652131151.8438512,TRUE,127.41666666666667,127,105,150.3,45.30000000000001
Andrena cleodora,39.386,-120.082,244,2042446274971.6604,204244627.49716604,TRUE,173.56387665198238,176,146,196,50
Andrena coactipostica,33.956,-117.372,59,36576088375.3284,3657608.83753284,TRUE,84.08620689655172,79.5,61,116.60000000000001,55.60000000000001
Andrena coconina,37.285,-111.888,5,169200077138.33792,16920007.713833794,TRUE,186,186,186,186,0
Andrena colletina,41.263999999999996,-109.64699999999999,64,2676057042279.751,267605704.2279751,TRUE,240.9607843137255,245,229,261,32
Andrena columbiana,44.203,-119.658,107,3849954788890.81,384995478.889081,TRUE,207.1764705882353,208,191.4,234,42.599999999999994
Andrena commoda,41.646,-88.29,511,6653197585594.855,665319758.5594856,TRUE,157.02763819095478,158.5,129,182,53
Andrena compositarum,37.989000000000004,-121.143,2,1837162686.3674545,183716.26863674546,TRUE,96.5,96.5,88.1,104.9,16.80000000000001
Andrena concinnula,33.956,-117.372,125,964501347921.9626,96450134.79219627,TRUE,66.73728813559323,61,21,102.89999999999999,81.89999999999999
Andrena confederata,38.536,-77.463,95,1883565530330.9282,188356553.03309283,TRUE,123.9054054054054,128,89.60000000000001,157,67.39999999999999
Andrena congrua,36.4865,-119.0845,20,129115391252.93762,12911539.125293763,TRUE,120.6875,119,107,135.5,28.5
Andrena coracina,35.126,-117.585,7,18752753720.30983,1875275.372030983,TRUE,96.5,89,84,116.5,32.5
Andrena cornelli,39.076,-76.81049999999999,90,527685945256.6847,52768594.52566847,TRUE,134.18965517241378,129,111.80000000000001,189.6,77.79999999999998
Andrena coruscata,35.769,-106.287,3,21799314626.660217,2179931.4626660217,TRUE,186.33333333333334,182,173.2,201.2,28
Andrena costillensis,41.041,-106.983,67,1626238616991.23,162623861.699123,TRUE,214.33333333333334,213,192,236,44
