providedName,finalName
Andrena vexabilis,Andrena pallidifovea
Andrena viburnella,Andrena perplexa
Andrena vicina,Andrena vicina
Andrena vicinoides,Andrena vicinoides
Andrena vierecki,Andrena vierecki
Andrena violae,Andrena violae
Andrena virginiana,Andrena virginiana
Andrena viridissima,Andrena viridissima
Andrena vulgaris,Andrena w-scripta
Andrena vulpicolor,Andrena vulpicolor
Andrena waldmerei,Andrena waldmerei
Andrena walleyi,Andrena walleyi
Andrena washingtoni,Andrena washingtoni
Andrena weedi,Andrena sigmundi
Andrena wellesleyana,Andrena wellesleyana
Andrena wheeleri,Andrena wheeleri
Andrena wilkella,Andrena wilkella
Andrena wilmattae,Andrena wilmattae
Andrena winkleyi,Andrena wilkella
Andrena winnemuccana,Andrena winnemuccana
Andrena wscripta,Andrena w-scripta
Andrena xanthigera,Andrena xanthigera
Andrena xanthostigma,Andrena candida
Andrena ziziae,Andrena ziziae
Andrena ziziaeformis,Andrena ziziaeformis
Anthemurgus passiflorae,Pseudopanurgus passiflorae
Anthidiellum ehrhorni,Anthidiellum ehrhorni
Anthidiellum notatum,Anthidiellum notatum
Anthidiellum notatum.robertsoni,Anthidiellum notatum
Anthidiellum perplexum,Anthidiellum perplexum
Anthidiellum robertsoni,Anthidiellum robertsoni
Anthidium atrifrons,Anthidium atrifrons
Anthidium atripes,Anthidium atripes
Anthidium banningense,Anthidium banningense
Anthidium clypeodentatum,Anthidium clypeodentatum
Anthidium cochimi,Anthidium cochimi
Anthidium cockerelli,Anthidium cockerelli
Anthidium cognatum,Anthidium maculifrons
Anthidium consimile,Dianthidium pudicum
Anthidium crassipes,Trachusa crassipes
Anthidium dammersi,Anthidium dammersi
Anthidium duomarginatum,Anthidium duomarginatum
Anthidium ehrhorni,Anthidiellum ehrhorni
Anthidium emarginatum,Anthidium emarginatum
Anthidium formosum,Anthidium formosum
Anthidium harbecki,Trachusa dorsalis
Anthidium jocosum,Anthidium jocosum
Anthidium labergei,Anthidium labergei
Anthidium larreae,Trachusa larreae
Anthidium lepidum,Paranthidium jugatorium
Anthidium longispinum,Anthidium banningense
Anthidium maculifrons,Anthidium maculifrons
Anthidium maculosum,Anthidium maculosum
Anthidium manicatum,Anthidium manicatum
Anthidium michenerorum,Anthidium michenerorum
Anthidium montivagum,Anthidium emarginatum
Anthidium mormonum,Anthidium mormonum
Anthidium oblongatum,Anthidium oblongatum
Anthidium pallidiclypeum,Anthidium pallidiclypeum
Anthidium palliventre,Anthidium palliventre
Anthidium palmarum,Anthidium palmarum
Anthidium paroselae,Anthidium paroselae
Anthidium perpictum,Paranthidium jugatorium
Anthidium placitum,Anthidium placitum
Anthidium porterae,Anthidium porterae
Anthidium psoraleae,Anthidium psoraleae
Anthidium rodecki,Anthidium rodecki
Anthidium rohweri,Anthidium sonorense
Anthidium schwarzi,Anthidium schwarzi
Anthidium sonorense,Anthidium sonorense
Anthidium tenuiflorae,Anthidium tenuiflorae
Anthidium utahense,Anthidium utahense
Anthocopa arizonensis,Atoposmia arizonensis
Anthocopa maryae,Atoposmia maryae
Anthocopa rubrella,Ashmeadiella rubrella
Anthophora abroniae,Anthophora abroniae
Anthophora affabilis,Anthophora affabilis
Anthophora albata,Anthophora albata
Anthophora anasazi,Anthophora pueblo
Anthophora bomboides,Anthophora bomboides
Anthophora californica,Anthophora californica
Anthophora californica californica,Anthophora californica
Anthophora capistrata,Anthophora capistrata
Anthophora catalinae,Anthophora urbana
Anthophora centriformis,Anthophora centriformis
Anthophora cockerelli,Anthophora cockerelli
Anthophora columbariae,Anthophora columbariae
Anthophora coptognatha,Anthophora coptognatha
Anthophora corvicolor,Anthophora pacifica
Anthophora crotchii,Anthophora crotchii
Anthophora curta,Anthophora curta
Anthophora edwardsii,Anthophora edwardsii
Anthophora erythrothorax,Anthophora erythrothorax
Anthophora estebana,Anthophora estebana
Anthophora exigua,Anthophora exigua
Anthophora fedorica,Anthophora fedorica
Anthophora flavocincta,Anthophora flavocincta
Anthophora flexipes,Anthophora albata
Anthophora forbesi,Anthophora forbesi
Anthophora fulvicauda,Anthophora fulvicauda
Anthophora fulvicollis,Anthophora affabilis
Anthophora furcata,Anthophora terminalis
Anthophora gohrmanae,Anthophora edwardsii
Anthophora gohrmanae coloradensis,Anthophora edwardsii
Anthophora hololeuca,Anthophora hololeuca
Anthophora lesquerellae,Anthophora lesquerellae
Anthophora linsleyi,Anthophora linsleyi
Anthophora maculifrons,Anthophora maculifrons
Anthophora marginata,Anthophora marginata
Anthophora mojavensis,Anthophora timberlakei
Anthophora montana,Anthophora montana
Anthophora morrisoni,Habropoda morrisoni
Anthophora mortuaria,Anthophora mortuaria
Anthophora mucida,Habropoda cressonii
Anthophora nubiterrae,Anthophora terminalis
Anthophora occidentalis,Anthophora occidentalis
Anthophora pachyodonta,Anthophora pachyodonta
Anthophora pacifica,Anthophora pacifica
Anthophora parkeri,Anthophora parkeri
Anthophora peritomae,Anthophora peritomae
Anthophora petrophila,Anthophora petrophila
Anthophora phaceliae,Anthophora phaceliae
Anthophora phenax,Anthophora phenax
Anthophora platti,Anthophora platti
Anthophora plumipes,Anthophora villosula
Anthophora porterae,Anthophora porterae
Anthophora pueblo,Anthophora pueblo
Anthophora raui,Anthophora bomboides
Anthophora raui Rohwer,Anthophora bomboides
Anthophora rhodothorax,Anthophora rhodothorax
Anthophora salazariae,Anthophora salazariae
Anthophora signata,Anthophora signata
Anthophora simillima,Anthophora ursina
Anthophora smithii,Anthophora montana
Anthophora squammulosa,Anthophora curta
Anthophora stanfordiana,Anthophora bomboides
Anthophora striata,Anthophora striata
Anthophora subignava,Anthophora pacifica
Anthophora terminalis,Anthophora terminalis
Anthophora timberlakei,Anthophora timberlakei
Anthophora urbana,Anthophora urbana
Anthophora ursina,Anthophora ursina
Anthophora vallorum,Anthophora vallorum
Anthophora vanduzeei,Anthophora parkeri
Anthophora vannigera,Anthophora vannigera
Anthophora villosula,Anthophora villosula
Anthophora walshii,Anthophora walshii
Anthophorula albata,Anthophorula albata
Anthophorula albicans,Anthophorula albicans
Anthophorula albovestita,Anthophorula albovestita
Anthophorula asteris,Anthophorula asteris
Anthophorula beameri,Anthophorula beameri
Anthophorula cerei,Anthophorula cerei
Anthophorula chionura,Anthophorula chionura
Anthophorula chlorina,Anthophorula chlorina
Anthophorula compactula,Anthophorula compactula
Anthophorula completa,Anthophorula completa
Anthophorula consobrina,Anthophorula consobrina
Anthophorula cornigera,Anthophorula cornigera
Anthophorula crenulata,Anthophorula crenulata
Anthophorula deserticola,Anthophorula deserticola
Anthophorula eriogoni,Anthophorula eriogoni
Anthophorula euphorbiae,Anthophorula euphorbiae
Anthophorula exilis,Anthophorula parva
Anthophorula gutierreziae,Anthophorula gutierreziae
Anthophorula imparilis,Anthophorula imparilis
Anthophorula interrupta,Anthophorula interrupta
Anthophorula micheneri,Anthophorula micheneri
Anthophorula morgani,Anthophorula morgani
Anthophorula nevadensis,Anthophorula nevadensis
Anthophorula nitens,Anthophorula nitens
Anthophorula palmarum,Anthophorula palmarum
Anthophorula parva,Anthophorula parva
Anthophorula pygmaea,Anthophorula pygmaea
Anthophorula rozeni,Anthophorula rozeni
Anthophorula rufiventris,Anthophorula rufiventris
Anthophorula scapalis,Anthophorula scapalis
Anthophorula sidae,Anthophorula sidae
Anthophorula texana,Anthophorula texana
Anthophorula torticornis,Anthophorula torticornis
Anthophorula tricinctula,Anthophorula tricinctula
Anthophorula varleyi,Anthophorula varleyi
Ashmeadiella altadenae,Ashmeadiella altadenae
Ashmeadiella aridula,Ashmeadiella aridula
Ashmeadiella astragali,Ashmeadiella aridula
Ashmeadiella australis,Ashmeadiella australis
Ashmeadiella barberi,Ashmeadiella barberi
Ashmeadiella bigeloveae,Ashmeadiella bigeloviae
Ashmeadiella bigeloviae,Ashmeadiella bigeloviae
Ashmeadiella biscopula,Ashmeadiella biscopula
Ashmeadiella breviceps,Ashmeadiella breviceps
Ashmeadiella bucconis,Ashmeadiella bucconis
Ashmeadiella cactorum,Ashmeadiella cactorum
Ashmeadiella californica,Ashmeadiella californica
Ashmeadiella cazieri,Ashmeadiella cazieri
Ashmeadiella chumashae,Ashmeadiella chumashae
Ashmeadiella clypeodentata,Ashmeadiella clypeodentata
Ashmeadiella cockerelli,Ashmeadiella cockerelli
Ashmeadiella coquilletti,Ashmeadiella californica
Ashmeadiella cubiceps,Ashmeadiella cubiceps
Ashmeadiella difugita,Ashmeadiella difugita
Ashmeadiella dimalla,Ashmeadiella dimalla
Ashmeadiella echinocerei,Ashmeadiella cactorum
Ashmeadiella erema,Ashmeadiella erema
Ashmeadiella eurynorhyncha,Ashmeadiella eurynorhyncha
Ashmeadiella femorata,Ashmeadiella femorata
Ashmeadiella floridana,Ashmeadiella floridana
Ashmeadiella foveata,Ashmeadiella foveata
Ashmeadiella foxiella,Ashmeadiella foxiella
Ashmeadiella gillettei,Ashmeadiella gillettei
Ashmeadiella holtii,Ashmeadiella holtii
Ashmeadiella howardi,Hoplitis howardi
Ashmeadiella hurdiana,Ashmeadiella hurdiana
Ashmeadiella inyoensis,Ashmeadiella inyoensis
Ashmeadiella leachi,Ashmeadiella leachi
Ashmeadiella leucozona,Ashmeadiella leucozona
Ashmeadiella lutzi,Ashmeadiella lutzi
Ashmeadiella maxima,Ashmeadiella maxima
Ashmeadiella meliloti,Ashmeadiella meliloti
Ashmeadiella micheneri,Ashmeadiella micheneri
Ashmeadiella neomexicana,Ashmeadiella neomexicana
Ashmeadiella occipitalis,Ashmeadiella occipitalis
Ashmeadiella opuntiae,Ashmeadiella opuntiae
Ashmeadiella parkinsoniae,Ashmeadiella parkinsoniae
Ashmeadiella pronitens,Ashmeadiella pronitens
Ashmeadiella prosopidis,Ashmeadiella prosopidis
Ashmeadiella rhodognatha,Ashmeadiella rhodognatha
Ashmeadiella rubrella,Ashmeadiella rubrella
Ashmeadiella rufipes,Ashmeadiella rufipes
Ashmeadiella rufitarsis,Ashmeadiella rufitarsis
Ashmeadiella salviae,Ashmeadiella salviae
Ashmeadiella schwarzi,Ashmeadiella prosopidis
Ashmeadiella sculleni,Ashmeadiella sculleni
Ashmeadiella sonora,Ashmeadiella sonora
Ashmeadiella stenognatha,Ashmeadiella stenognatha
Ashmeadiella stevensi,Ashmeadiella stevensi
Ashmeadiella timberlakei,Ashmeadiella timberlakei
Ashmeadiella titusi,Ashmeadiella titusi
Ashmeadiella truncativentris,Ashmeadiella truncativentris
Ashmeadiella vandykiella,Ashmeadiella vandykiella
Ashmeadiella washingtonensis,Ashmeadiella foxiella
Ashmeadiella xenomastax,Ashmeadiella xenomastax
Atoposmia abjecta,Atoposmia abjecta
Atoposmia anthodyta,Atoposmia anthodyta
Atoposmia arizonensis,Atoposmia arizonensis
Atoposmia beameri,Atoposmia beameri
Atoposmia copelandica,Atoposmia copelandica
Atoposmia daleae,Atoposmia daleae
Atoposmia elongata,Atoposmia elongata
Atoposmia enceliae,Atoposmia enceliae
Atoposmia hebitis,Atoposmia hebitis
Atoposmia hemizoniae,Atoposmia hemizoniae
Atoposmia hypostomalis,Atoposmia hypostomalis
Atoposmia maryae,Atoposmia maryae
Atoposmia mirifica,Atoposmia mirifica
Atoposmia namatophila,Atoposmia namatophila
Atoposmia nitidivitta,Atoposmia nitidivitta
Atoposmia oregona,Atoposmia oregona
Atoposmia panamintensis,Atoposmia panamintensis
Atoposmia phaceliarum,Atoposmia phaceliarum
Atoposmia pycnognatha,Atoposmia pycnognatha
Atoposmia robustula,Atoposmia robustula
Atoposmia rupestris,Atoposmia rupestris
Atoposmia segregata,Atoposmia segregata
Atoposmia timberlakei,Atoposmia timberlakei
Atoposmia triodonta,Atoposmia triodonta
Atoposmia viguierae,Atoposmia viguierae
Aug ella aurata,Augochlorella aurata
Aug ella persimilis,Augochlorella persimilis
Aug opsis metallica,Augochloropsis metallica
Aug opsis sumptuosa,Augochloropsis sumptuosa
Aug ora pura,Augochlora pura
Augochlora anonyma,Augochloropsis anonyma
Augochlora aurifera,Augochlora aurifera
Augochlora azteca,Augochlora azteca
Augochlora coerulea,Augochloropsis sumptuosa
Augochlora coloradensis,Augochlorella aurata
Augochlora floridica,Augochloropsis sumptuosa
Augochlora lacustris,Augochloropsis sumptuosa
Augochlora mosieri,Augochlora pura
Augochlora nigrocyanea,Augochlora nigrocyanea
Augochlora palmarum,Augochlora pura
Augochlora pura,Augochlora pura
Augochlora utahensis,Augochlorella pomoniella
Augochlorella aurata,Augochlorella aurata
Augochlorella gratiosa,Augochlorella gratiosa
Augochlorella karankawa,Augochlorella karankawa
Augochlorella neglectula,Augochlorella neglectula
Augochlorella persimilis,Augochlorella persimilis
Augochlorella pomoniella,Augochlorella pomoniella
Augochlorella pura,Augochlora pura
Augochlorella striata,Augochlorella aurata
Augochloropsis anonyma,Augochloropsis anonyma
Augochloropsis metallica,Augochloropsis metallica
Augochloropsis metallica fulgida,Augochloropsis metallica
Augochloropsis metallica metallica,Augochloropsis metallica
Augochloropsis sumptuosa,Augochloropsis sumptuosa
Bombus appositus,Bombus appositus
Bombus ashtoni,Bombus ashtoni
Bombus auricomus,Bombus auricomus
Bombus balteatus,Bombus kirbiellus
Bombus bifarius,Bombus vancouverensis
Bombus bifarius,Bombus bifarius complex
Bombus bifarius,Bombus bifarius
Bombus bimaculatus,Bombus bimaculatus
Bombus bohemicus,Bombus ashtoni
Bombus borealis,Bombus borealis
Bombus californicus,Bombus californicus
Bombus centralis,Bombus centralis
Bombus cockerelli,Bombus cockerelli
Bombus consimilis,Bombus vagans
Bombus edwardsii,Bombus melanopygus
Bombus fernaldae,Bombus fernaldae
Bombus fervidus,Bombus fervidus
Bombus flavidus,Bombus fernaldae
Bombus flavifrons,Bombus flavifrons
Bombus franklini,Bombus franklini
Bombus fraternus,Bombus fraternus
Bombus frigidus,Bombus frigidus
Bombus griseocollis,Bombus griseocollis
Bombus howardi,Bombus occidentalis
Bombus huntii,Bombus huntii
Bombus impatiens,Bombus impatiens
Bombus impatients,Bombus impatiens
Bombus improbus,Bombus nevadensis
Bombus insularis,Bombus insularis
Bombus intrudens,Bombus variabilis
Bombus iridis,Bombus rufocinctus
Bombus iridis var. phaceliae,Bombus rufocinctus
Bombus juxtus,Bombus centralis
Bombus kirbiellus,Bombus kirbiellus
Bombus lapponicus,Bombus sylvicola
Bombus melanopygus,Bombus melanopygus
Bombus mixtus,Bombus mixtus
Bombus monardae,Bombus centralis
Bombus mormonorum,Bombus griseocollis
Bombus morrisoni,Bombus morrisoni
Bombus nevadensis,Bombus nevadensis
Bombus occidentalis,Bombus occidentalis
Bombus pensylvanicus,Bombus pensylvanicus
Bombus pensylvanicus,Bombus sonorus
Bombus perplexus,Bombus perplexus
Bombus prunellae,Bombus rufocinctus
Bombus putnami,Bombus kirbiellus
Bombus rufocinctus,Bombus rufocinctus
Bombus rufosuffusus,Bombus huntii
Bombus sandersoni,Bombus sandersoni
Bombus separatus,Bombus griseocollis
Bombus sitkensis,Bombus sitkensis
Bombus sonorus,Bombus sonorus
Bombus suckleyi,Bombus suckleyi
Bombus sylvicola,Bombus sylvicola
Bombus ternarius,Bombus ternarius
Bombus terricola,Bombus terricola
Bombus vagans,Bombus vagans
Bombus vancouverensis,Bombus vancouverensis
Bombus vancouverensis,Bombus bifarius complex
Bombus vandykei,Bombus vandykei
Bombus variabilis,Bombus variabilis
Brachynomada annectens,Brachynomada annectens
Brachynomada grindeliae,Brachynomada grindeliae
Brachynomada margaretae,Brachynomada margaretae
Brachynomada melanantha,Brachynomada melanantha
Brachynomada nimia,Brachynomada nimia
Brachynomada sidaefloris,Brachynomada sidaefloris
Calliopsis andreniformis,Calliopsis andreniformis
Calliopsis anomoptera,Calliopsis anomoptera
Calliopsis anthidia,Calliopsis anthidius
Calliopsis atricornis,Pseudopanurgus atricornis
Calliopsis australior,Calliopsis australior
Calliopsis bakeri,Pseudopanurgus bakeri
Calliopsis barbata,Calliopsis barbata
Calliopsis barri,Calliopsis barri
Calliopsis beamerorum,Calliopsis beamerorum
Calliopsis bernardinensis,Calliopsis bernardinensis
Calliopsis boharti,Calliopsis boharti
Calliopsis boylei,Pseudopanurgus boylei
Calliopsis callops,Calliopsis callops
Calliopsis callosa,Calliopsis callosa
Calliopsis cazieri,Calliopsis cazieri
Calliopsis chlorops,Calliopsis chlorops
Calliopsis cincta,Calliopsis cinctus
Calliopsis citripes,Pseudopanurgus citripes
Calliopsis coloradensis,Calliopsis coloradensis
Calliopsis coloratipes,Calliopsis coloratipes
Calliopsis comptula,Calliopsis comptula
Calliopsis crypta,Calliopsis crypta
Calliopsis deserticola,Calliopsis deserticola
Calliopsis edwardsii,Calliopsis edwardsii
Calliopsis empelia,Calliopsis empelia
Calliopsis filiorum,Calliopsis filiorum
Calliopsis foleyi,Calliopsis foleyi
Calliopsis fracta,Calliopsis fracta
Calliopsis fraterculus,Pseudopanurgus fraterculus
Calliopsis fulgida,Calliopsis fulgida
Calliopsis gilva,Calliopsis gilva
Calliopsis helenae,Calliopsis helenae
Calliopsis helianthi,Calliopsis helianthi
Calliopsis hesperia,Calliopsis hesperia
Calliopsis hirsutifrons,Calliopsis hirsutifrons
Calliopsis hondurasica,Calliopsis hondurasica
Calliopsis innuptus,Pseudopanurgus innuptus
Calliopsis larreae,Calliopsis larreae
Calliopsis limbus,Calliopsis limbus
Calliopsis linsleyi,Calliopsis linsleyi
Calliopsis macswaini,Calliopsis macswaini
Calliopsis meliloti,Calliopsis meliloti
Calliopsis mellipes,Calliopsis mellipes
Calliopsis michenerella,Calliopsis michenerella
Calliopsis micheneri,Calliopsis micheneri
Calliopsis nebraskensis,Calliopsis nebraskensis
Calliopsis nigromaculata,Calliopsis nigromaculata
Calliopsis obscurella,Calliopsis obscurella
Calliopsis pectidis,Calliopsis pectidis
Calliopsis perlaevis,Pseudopanurgus perlaevis
Calliopsis persimilis,Calliopsis persimilis
Calliopsis personata,Calliopsis personata
Calliopsis phaceliae,Calliopsis phaceliae
Calliopsis philiphunteri,Calliopsis philiphunteri
Calliopsis pictipes,Calliopsis scitula
Calliopsis puellae,Calliopsis puellae
Calliopsis pugionis,Calliopsis pugionis
Calliopsis renimaculatus,Pseudopanurgus renimaculatus
Calliopsis rhodophila,Calliopsis rhodophila
Calliopsis rogeri,Calliopsis rogeri
Calliopsis rozeni,Calliopsis rozeni
Calliopsis scitula,Calliopsis scitula
Calliopsis scitula scitula,Calliopsis scitula
Calliopsis scutellaris,Calliopsis scutellaris
Calliopsis semirufus,Calliopsis subalpina
Calliopsis smithi,Calliopsis smithi
Calliopsis snellingi,Calliopsis snellingi
Calliopsis sonora,Calliopsis sonora
Calliopsis sonorana,Calliopsis sonora
Calliopsis squamifera,Calliopsis squamifera
Calliopsis subalpina,Calliopsis subalpina
Calliopsis subalpinus,Calliopsis subalpina
Calliopsis teucrii,Calliopsis teucrii
Calliopsis timberlakei,Calliopsis timberlakei
Calliopsis townsendi,Pseudopanurgus townsendi
Calliopsis tricolor,Protandrena abdominalis
Calliopsis trifolii,Calliopsis trifolii
Calliopsis verbenae,Calliopsis verbenae
Calliopsis xenus,Calliopsis xenus
Calliopsis zebrata,Calliopsis zebrata
Calliopsis zebrata zebrata,Calliopsis zebrata
Calliopsis zonalis,Calliopsis zonalis
Camptopoeum semirufum,Protandrena abdominalis
Caupolicana electa,Caupolicana electa
Caupolicana elegans,Zikanapis elegans
Caupolicana floridana,Caupolicana floridana
Caupolicana ocellata,Caupolicana ocellata
Caupolicana yarrowi,Caupolicana yarrowi
Cemolobus ipomoeae,Cemolobus ipomoeae
Centris angustifrons,Centris angustifrons
Centris aterrima,Centris apache
Centris atripes,Centris atripes
Centris caesalpiniae,Centris caesalpiniae
Centris californica,Centris californica
Centris cockerelli,Centris cockerelli
Centris decolorata,Centris decolorata
Centris errans,Centris errans
Centris hoffmanseggiae,Centris hoffmanseggiae
Centris lanosa,Centris lanosa
Centris marginata,Centris caesalpiniae
Centris mexicana,Centris mexicana
Centris moresi,Centris caesalpiniae
Centris morsei,Centris caesalpiniae
Centris nitida,Centris nitida
Centris pallida,Centris pallida
Centris rhodomelas,Centris rhodomelas
Centris rhodopus,Centris rhodopus
Centris ruthannae,Centris ruthannae
Centris tiburonensis,Centris tiburonensis
Centris zacateca,Centris zacateca
Ceratina acantha,Ceratina acantha
Ceratina apacheorum,Ceratina apacheorum
Ceratina arizonensis,Ceratina arizonensis
Ceratina calcarata,Ceratina calcarata
Ceratina cobaltina,Ceratina cobaltina
Ceratina cockerelli,Ceratina cockerelli
Ceratina dallatorreana,Ceratina dallatorreana
Ceratina diodonta,Ceratina diodonta
Ceratina dupla,Ceratina dupla
Ceratina hurdi,Ceratina hurdi
Ceratina melanoptera,Ceratina melanoptera
Ceratina micheneri,Ceratina micheneri
Ceratina mikmaqi,Ceratina mikmaqi
Ceratina nanula,Ceratina nanula
Ceratina neomexicana,Ceratina neomexicana
Ceratina pacifica,Ceratina pacifica
Ceratina punctigena,Ceratina punctigena
Ceratina sequoiae,Ceratina sequoiae
Ceratina shinnersi,Ceratina shinnersi
Ceratina submaritima,Ceratina acantha
Ceratina submaritima ehrhorni,Ceratina acantha
Ceratina texana,Ceratina texana
Ceratina timberlakei,Ceratina timberlakei
Chalicodoma californica,Ashmeadiella californica
Chalicodoma davidsoni,Megachile davidsoni
Chalicodoma georgica,Megachile georgica
Chalicodoma subexilis,Megachile subexilis
Chelostoma bernardinum,Chelostoma bernardinum
Chelostoma californicum,Chelostoma californicum
Chelostoma campanularum,Chelostoma campanularum
Chelostoma cockerelli,Chelostoma cockerelli
Chelostoma incisulum,Chelostoma incisulum
Chelostoma marginatum,Chelostoma marginatum
Chelostoma minutum,Chelostoma minutum
Chelostoma neomexicanum,Ashmeadiella neomexicana
Chelostoma phaceliae,Chelostoma phaceliae
Chelostoma philadelphi,Chelostoma philadelphi
Chelostoma rapunculi,Chelostoma rapunculi
Chelostoma tetramerum,Chelostoma tetramerum
Cilissa albihirta,Andrena frigida
Cilissa erythrogaster,Andrena erythrogaster
Cilissa nigrihirta,Andrena nigrihirta
Cilissa trizonata,Andrena trizonata
Coelioxys alternata,Coelioxys alternatus
Coelioxys apacheorum,Coelioxys apacheorum
Coelioxys aperta,Coelioxys aperta
Coelioxys atlantica,Coelioxys octodentatus
Coelioxys banksi,Coelioxys banksi
Coelioxys bisoncornua,Coelioxys bisoncornuus
Coelioxys boharti,Coelioxys boharti
Coelioxys cockerelli,Coelioxys alternatus
Coelioxys coloradensis,Coelioxys rufitarsis
Coelioxys comstockii,Coelioxys rufitarsis
Coelioxys coquilletti,Coelioxys octodentatus
Coelioxys coturnix,Coelioxys coturnix
Coelioxys dolichos,Coelioxys dolichos
Coelioxys edita,Coelioxys edita
Coelioxys erysimi,Coelioxys erysimi
Coelioxys floridana,Coelioxys floridanus
Coelioxys funeraria,Coelioxys funerarius
Coelioxys germana,Coelioxys germanus
Coelioxys germanus,Coelioxys germanus
Coelioxys gilensis,Coelioxys gilensis
Coelioxys gonaspis,Coelioxys gonaspis
Coelioxys grindeliae,Coelioxys grindeliae
Coelioxys hirsutissima,Coelioxys hirsutissimus
Coelioxys hunteri,Coelioxys hunteri
Coelioxys immaculata,Coelioxys immaculatus
Coelioxys insita,Coelioxys insita
Coelioxys lucrosa,Coelioxys funerarius
Coelioxys menthae,Coelioxys menthae
Coelioxys mesae,Coelioxys mesae
Coelioxys mexicana,Coelioxys mexicanus
Coelioxys mexicanus,Coelioxys mexicanus
Coelioxys moesta,Coelioxys moestus
Coelioxys novomexicana,Coelioxys novomexicanus
Coelioxys novomexicanus,Coelioxys novomexicanus
Coelioxys obtusiventris,Coelioxys obtusiventris
Coelioxys octodentata,Coelioxys octodentatus
Coelioxys octodentatus,Coelioxys octodentatus
Coelioxys piercei,Coelioxys piercei
Coelioxys porterae,Coelioxys porterae
Coelioxys ribis,Coelioxys sodalis
Coelioxys rufitarsis,Coelioxys rufitarsis
Coelioxys salinaria,Coelioxys salinarius
Coelioxys sayi,Coelioxys sayi
Coelioxys sayi octodentata,Coelioxys sayi
Coelioxys scitula,Coelioxys scitulus
Coelioxys sculptifrons,Coelioxys immaculatus
Coelioxys serricauda,Coelioxys serricaudatus
Coelioxys serricaudata,Coelioxys serricaudatus
Coelioxys slossoni,Coelioxys slossoni
Coelioxys sodalis,Coelioxys sodalis
Coelioxys soledadensis,Coelioxys soledadensis
Coelioxys texana,Coelioxys texanus
Coelioxys texana texana,Coelioxys texanus
Coelioxys texanus,Coelioxys texanus
Colletes aberrans,Colletes aberrans
Colletes aestivalis,Colletes aestivalis
Colletes albescens,Colletes albescens
Colletes algarobiae,Colletes algarobiae
Colletes americanus,Colletes americanus
Colletes andrewsi,Colletes andrewsi
Colletes angelicus,Colletes angelicus
Colletes annae,Colletes annae
Colletes arenicola,Colletes hyalinus
Colletes aridus,Colletes aridus
Colletes arizonensis,Colletes arizonensis
Colletes armatus,Colletes simulans
Colletes banksi,Colletes banksi
Colletes beamerorum,Colletes beamerorum
Colletes birkmanni,Colletes birkmanni
Colletes bradleyi,Colletes bradleyi
Colletes brevicornis,Colletes brevicornis
Colletes brevispinosus,Colletes simulans
Colletes brimleyi,Colletes brimleyi
Colletes bryanti,Colletes bryanti
Colletes bulbotibialis,Colletes bulbotibialis
Colletes bumeliae,Colletes bumeliae
Colletes californicus,Colletes californicus
Colletes carolinus,Colletes distinctus
Colletes cercidii,Colletes cercidii
Colletes chamaesarachae,Colletes chamaesarachae
Colletes ciliatoides,Colletes ciliatoides
Colletes ciliatus,Colletes ciliatus
Colletes clypeonitens,Colletes clypeonitens
Colletes compactus,Colletes compactus
Colletes consors,Colletes consors
Colletes consors.consors,Colletes consors
Colletes covilleae,Colletes covilleae
Colletes crucis,Colletes annae
Colletes daleae,Colletes daleae
Colletes delodontus,Colletes delodontus
Colletes deserticola,Colletes deserticola
Colletes distinctus,Colletes distinctus
Colletes euloph kincaidii,Colletes eulophi
Colletes eulophi,Colletes eulophi
Colletes fulgidus,Colletes fulgidus
Colletes gilensis,Colletes gilensis
Colletes gypsicolens,Colletes gypsicolens
Colletes howardi,Colletes howardi
Colletes hyalinus,Colletes hyalinus
Colletes hyalinus.hyalinus,Colletes hyalinus
Colletes ilicis,Colletes banksi
Colletes impunctatus,Colletes impunctatus
Colletes inaequalis,Colletes inaequalis
Colletes intermixtus,Colletes intermixtus
Colletes inuncantipedis,Colletes inuncantipedis
Colletes kansensis,Colletes kansensis
Colletes kincaidii,Colletes kincaidii
Colletes larreae,Colletes larreae
Colletes laticinctus,Colletes laticinctus
Colletes latitarsis,Colletes latitarsis
Colletes linsleyi,Colletes linsleyi
Colletes longifacies,Colletes longifacies
Colletes louisae,Colletes louisae
Colletes lutzi,Colletes lutzi
Colletes lutzi.lutzi,Colletes lutzi
Colletes mandibularis,Colletes mandibularis
Colletes metzi,Colletes metzi
Colletes micheneri,Colletes micheneri
Colletes mitchelli,Colletes speculiferus
Colletes nigrifrons,Colletes nigrifrons
Colletes nitescens,Colletes nitescens
Colletes nudus,Colletes nudus
Colletes ochraceus,Colletes ochraceus
Colletes opuntiae,Colletes brevicornis
Colletes oromontis,Colletes paniscus
Colletes paniscus,Colletes paniscus
Colletes pascoensis,Colletes consors
Colletes perileucus,Colletes perileucus
Colletes petalostemonis,Colletes petalostemonis
Colletes phaceliae,Colletes phaceliae
Colletes platycnema,Colletes platycnema
Colletes prosopidis,Colletes prosopidis
Colletes punctipennis,Colletes punctipennis
Colletes robertsonii,Colletes robertsonii
Colletes rudis,Colletes rudis
Colletes rufocinctus,Colletes rufocinctus
Colletes salicicola,Colletes salicicola
Colletes saritensis,Colletes saritensis
Colletes scopiventer,Colletes scopiventer
Colletes simulans,Colletes simulans
Colletes skinneri,Colletes skinneri
