scientificName,med_lat,med_long,n_chesshire,area_m2,area_ha,spherical_geometry,mean_doy,med_doy,quant10,quant90,flight_season
Perdita kanabensis,37.035,-112.528,5,1563044541.11213,156304.454111213,TRUE,262.8,264,260.4,264,3.60000000000002
Perdita kiowi,39.267,-103.406,36,743907693575.956,74390769.3575956,TRUE,228.484848484848,224,210.8,248,37.2
Perdita knowltoni,38.573,-110.748,7,10219461604.0952,1021946.16040952,TRUE,273,274,259.8,286.2,26.4
Perdita koebelei,36.1125,-115.7855,76,323499455224.44,32349945.522444,TRUE,107.971830985915,112,80,136,56
Perdita krombeini,26.715,-81.702,1,1304428570.28445,130442.857028445,TRUE,89,89,89,89,0
Perdita labergei,38.592,-110.703,55,790814575732.861,79081457.5732861,TRUE,212.764705882353,208,182,245,63
Perdita labrata,33.761,-116.552,13,2438789896.36899,243878.989636899,TRUE,125.583333333333,122.5,112.2,149.5,37.3
Perdita larreae,32.2995,-109.267,242,888412870016.077,88841287.0016077,TRUE,192.977777777778,218,125,252,127
Perdita lasiogastra,27.773,-105.295,8,965093896356.046,96509389.6356046,TRUE,252.285714285714,241,231.6,283.6,52
Perdita lateralis,34.351,-116.33,97,322051706261.154,32205170.6261154,TRUE,123.085365853659,119,94,152.7,58.7
Perdita laticincta,42.062,-101.256,31,1565040925672.01,156504092.567201,TRUE,220.75,221,203.7,245,41.3
Perdita layiae,34.08,-117.368,9,70117210759.8531,7011721.07598532,TRUE,137.333333333333,145,125.8,145.8,20
Perdita lenis,31.334,-109.236,69,665110982348.681,66511098.2348681,TRUE,177.78125,198,107.3,240.7,133.4
Perdita lepachidis,31.94,-101.254,19,2026915040036.82,202691504.003682,TRUE,176.454545454545,164,132,220,88
Perdita lepidosparti,40.237,-113.048,96,633428178172.687,63342817.8172687,TRUE,188.719101123595,183,146,238.2,92.2
Perdita leucogastra,29.9065,-101.9285,2,200998940.374663,20099.8940374663,TRUE,103,103,103,103,0
Perdita leucosticta,33.702,-116.711,3,1745837544.18163,174583.754418163,TRUE,154,161,144.2,161,16.8
Perdita leucostoma,37.2055,-118.152,16,189427224350.834,18942722.4350834,TRUE,170.785714285714,166.5,148.5,210.9,62.4
Perdita levissima,31.526,-110.847,1,3781544022.68686,378154.402268686,TRUE,NA,NA,NA,NA,NA
Perdita lingualis,39.681,-110.3865,70,3239974633947.69,323997463.394769,TRUE,220.0625,224,190.3,252.7,62.4
Perdita linsleyi,34.808,-119.012,1,9386796910.18497,938679.691018497,TRUE,128,128,128,128,0
Perdita lompocensis,34.9625,-120.2415,2,7374603730.61827,737460.373061827,TRUE,NA,NA,NA,NA,NA
Perdita lucens,34.6985,-117.6045,12,140156484577.688,14015648.4577688,TRUE,231.4,239.5,177.1,272.6,95.5
Perdita luciae,32.067,-109.751,83,1321407245727.67,132140724.572767,TRUE,112.253333333333,115,73.4,144.6,71.2
Perdita lucidella,30.069,-110.835,2,9408606613.53937,940860.661353937,TRUE,280,280,278.4,281.6,3.19999999999999
Perdita luculenta,34.859,-114.486,11,267593258950.264,26759325.8950264,TRUE,242.111111111111,264,152.4,294.4,142
Perdita lunulata,35.056,-110.096,4,6125924273.96613,612592.427396613,TRUE,254.25,254.5,238.9,269.4,30.5
Perdita luteiceps,40.1555,-107.2155,6,387098485212.813,38709848.5212813,TRUE,193.75,221,141.9,223.8,81.9
Perdita luteola,37.8155,-110.5785,104,998370607990.092,99837060.7990092,TRUE,239.666666666667,241,224,260,36
Perdita lycii,32.097,-111.79,1,1365493331.39369,136549.333139369,TRUE,NA,NA,NA,NA,NA
Perdita macrostoma,34.358,-118.821,6,2496971525.24308,249697.152524308,TRUE,126,126,126,126,0
Perdita macswaini,31.22,-98.44,15,723380926730.719,72338092.6730719,TRUE,130.230769230769,140,88.2,162.6,74.4
Perdita maculigera,39.037,-95.2155,42,2655543571717.9,265554357.17179,TRUE,161.666666666667,162.5,136.5,188,51.5
Perdita maculipes,32.314,-106.779,1,4073925678.42775,407392.567842775,TRUE,NA,NA,NA,NA,NA
Perdita maculosa,33.606,-114.974,15,115204090448.391,11520409.0448391,TRUE,116.7,105.5,91.6,125.4,33.7999999999999
Perdita malacothricis,31.672,-109.2775,308,605722031246.292,60572203.1246292,TRUE,110.364661654135,110,88,126,38
Perdita mandibularis,33.744,-116.02,13,48369689639.9169,4836968.96399169,TRUE,125.909090909091,120,114,153,39
Perdita marcialis,32.8495,-106.718,104,2214776874288.85,221477687.428885,TRUE,191.121621621622,200.5,105.3,256,150.7
Perdita martini,32.206,-102.102,13,696850432522.384,69685043.2522384,TRUE,183.153846153846,165,120,262,142
Perdita meconis,36.242,-114.4645,22,13381921854.0234,1338192.18540234,TRUE,110.4,113,103,125.2,22.2
Perdita media,33.734,-116.232,24,2311711806.57097,231171.180657097,TRUE,296.904761904762,300,270,318,48
Perdita medialis,34.64,-105.851,1,1545606501.44716,154560.650144716,TRUE,NA,NA,NA,NA,NA
Perdita melanochlora,35.026,-115.497,35,235192915364.192,23519291.5364192,TRUE,139.677419354839,122,102,188,86
Perdita melanostoma,35.372,-106.645,33,970185852189.937,97018585.2189937,TRUE,249.814814814815,246,235.2,273.4,38.2
Perdita mentzeliae,31.914,-108.822,53,675147658462.776,67514765.8462776,TRUE,240.741935483871,244,212,268,56
Perdita mentzeliarum,32.596,-106.395,22,383624198640.917,38362419.8640917,TRUE,178.833333333333,166.5,103,258.7,155.7
Perdita mesillensis,32.273,-106.739,14,463874221780.268,46387422.1780268,TRUE,251.545454545455,256,235,266,31
Perdita michelbacheri,32.903,-112.526,1,4652657260.5391,465265.72605391,TRUE,135,135,135,135,0
Perdita micheneri,34.183,-117.329,55,542370350018.079,54237035.0018079,TRUE,134.980392156863,126,110,157,47
Perdita mimosae,31.781,-104.3695,26,947238290671.592,94723829.0671592,TRUE,142.545454545455,130,93.7,240.4,146.7
Perdita mimula,33.724,-116.232,1,5038901129.62132,503890.112962132,TRUE,317,317,317,317,0
Perdita minima,32.919,-113.136,191,1239442059817.43,123944205.981743,TRUE,226.020547945205,241,148,269,121
Perdita missionis,29.067,-99.44,21,714650722109.016,71465072.2109016,TRUE,111.8,102,88.8,106.1,17.3
Perdita mitchelli,30.1395,-83.337,2,5555925700.65044,555592.570065044,TRUE,154,154,154,154,0
Perdita moabensis,38.596,-110.618,39,59967907207.3716,5996790.72073716,TRUE,222.944444444444,233,173.5,248,74.5
Perdita mohavensis,34.6135,-116.177,114,296553426019.565,29655342.6019565,TRUE,107.934579439252,106,81.6,135,53.4
Perdita moldenkei,33.137,-116.533,2,3492647738.79252,349264.773879252,TRUE,112,112,112,112,0
Perdita montereyensis,36.372,-121.561,28,11849499477.2441,1184949.94772441,TRUE,153.272727272727,156,137.9,164.7,26.8
Perdita mormonica,37.855,-111.888,5,170010614965.246,17001061.4965246,TRUE,165,164,157.5,173.3,15.8
Perdita morula,37.855,-111.443,5,65994813441.2007,6599481.34412007,TRUE,131,128,128,135.2,7.19999999999999
Perdita mucronata,34.02,-116.019,5,3628864485.97556,362886.448597556,TRUE,119.333333333333,128,106.4,128.8,22.4
Perdita multiflorae,38.592,-110.59,11,55118269.6651435,5511.82696651435,TRUE,247.727272727273,239,236,264,28
Perdita munda,38.64,-111.4685,34,164552556398.247,16455255.6398247,TRUE,234.666666666667,255,196.4,264.2,67.8
Perdita munita,31.333,-109.24,86,1032072336078.59,103207233.607859,TRUE,228.347826086957,233,213,255,42
Perdita namatophila,36.703,-117.816,5,45907328820.1926,4590732.88201926,TRUE,123.8,129,106.4,138.6,32.2
Perdita nanula,31.344,-109.541,2,3475911523.81797,347591.152381797,TRUE,239,239,239,239,0
Perdita nasuta,36.062,-114.4105,72,589546034419.248,58954603.4419248,TRUE,170.349206349206,167,116.4,232.6,116.2
Perdita navarretiae,37.7565,-119.9655,4,2938279612.96606,293827.961296606,TRUE,171.666666666667,164,164,182.4,18.4
Perdita nebrascensis,33.9245,-92.4315,2,50153043980.4906,5015304.39804906,TRUE,229,229,229,229,0
Perdita neffi,32.097,-111.79,1,8029094351.08803,802909.435108803,TRUE,NA,NA,NA,NA,NA
Perdita nevadensis,39.616,-120.427,65,647046934143.19,64704693.414319,TRUE,193.574468085106,198,169.6,214.4,44.8
Perdita nevadiana,36.456,-114.532,1,4796447714.74033,479644.771474033,TRUE,137,137,137,137,0
Perdita nigridia,33.925,-115.401,53,361607185252.427,36160718.5252427,TRUE,102.265306122449,103,79,138,59
Perdita nigriventris,29.8085,-112.343,2,30284155101.3242,3028415.51013242,TRUE,272,272,272,272,0
Perdita nigrocaerulea,34.844,-115.609,2,3005759339.06049,300575.933906049,TRUE,145.5,145.5,141.1,149.9,8.79999999999998
Perdita nigroclypeata,37.579,-106.148,1,6206011219.36635,620601.121936635,TRUE,183,183,183,183,0
Perdita nigroviridis,29.417,-99.762,5,9540780783.80024,954078.078380024,TRUE,177.666666666667,195,153.4,195,41.6
Perdita nitens,36.56,-121.206,29,69530382445.8143,6953038.24458143,TRUE,125.136363636364,120,111.2,156.8,45.6
Perdita novaeangliae,41.779,-73.4915,14,338458165066.556,33845816.5066556,TRUE,176.714285714286,178,154.2,194.4,40.2
Perdita nubila,29.675,-82.358,7,215039146485.884,21503914.6485884,TRUE,153.666666666667,155.5,122,183.5,61.5
Perdita nuda,41.968,-111.952,46,370104532258.536,37010453.2258536,TRUE,228.512820512821,229,210.6,259.6,49
Perdita numerata,33.783,-116.215,33,473474997035.997,47347499.7035997,TRUE,106.321428571429,103.5,89,116.3,27.3
Perdita obliqua,32.576,-111.547,31,379913919628.381,37991391.9628381,TRUE,172.555555555556,169,136,206.7,70.7
Perdita obscurata,32.772,-81.379,15,816342955132.786,81634295.5132786,TRUE,121.125,138.5,70.8,153.3,82.5
Perdita obscurella,31.6095,-109.0945,52,108131612344.754,10813161.2344754,TRUE,237.866666666667,233,230.4,257.8,27.4
Perdita obtusa,36.653,-119.493,1,2281874455.45656,228187.445545656,TRUE,121,121,121,121,0
Perdita occidua,35.4135,-110.523,2,14818531360.116,1481853.1360116,TRUE,260.5,260.5,250.5,270.5,20
Perdita occlusa,35.4565,-110.7715,2,4032342878.74829,403234.287874829,TRUE,244,244,244,244,0
Perdita octomaculata,41.841,-75.1725,252,5914232566495.12,591423256.649512,TRUE,240.450704225352,245.5,212.1,268,55.9
Perdita omani,35.222,-119.011,1,4500630078.87971,450063.007887972,TRUE,195,195,195,195,0
